sent_id,sent_id,entity1,entity2,sent,processed_sent,label
TRAIN_SENT_ID_279201,,安琪,齐远,齐远 告诉 记者 关于 安琪 的 一切 ， 这时 三朵 小花 推 着 安琪 唱着歌 走 过来 ， 齐飞 告诉 记者 ， 安琪 答应 了 哥哥 的 求婚 ， 所以 她 必须 复活 。,人物二 告诉 记者 人物一  三朵 小花 推 人物一 唱着歌 走 过来  齐飞 告诉 记者  人物一 答应 哥哥 求婚  必须 复活,1
TRAIN_SENT_ID_270184,,蒋雯丽,顾长卫,四 、 一对 互相 欣赏 的 夫妻 — — 蒋雯丽 和 顾长卫 夫妇,四  一对 互相 欣赏 夫妻   人物一 人物二 夫妇,1
TRAIN_SENT_ID_254107,,霍启刚,郭晶晶,据知 33 岁 的 霍启刚 与 30 岁 的 郭晶晶 ， 婚后 会 火速 造 人 ， 为 霍家 添丁 。,据知  岁 人物一  岁 人物二  婚后 会 火速 造  霍家 添丁,1
TRAIN_SENT_ID_281522,,林立衡,林彪,林立衡 自从 报告 了 林彪 要 去 外地 的 情况 后 ， 已经 不敢 再 回去 了 / 林彪 问 林立果 和 警卫 秘书 ： “ 去 伊尔库茨克 要 飞 多少 时间 ？ ”,人物一 报告 人物二 外地 情况  已经 不敢 回去  人物二 问 林立果 警卫 秘书   伊尔库茨克 飞 时间,-1
TRAIN_SENT_ID_268775,,孟明视,百里奚,之所以 主张 百里奚 与 孟明视 是 一人 而 非 二人 ， 其 理由 亦 可以 举出 下列 几点 ：,主张 人物二 人物一 一人 非 二人  理由 举出 下列 几点,-1
TRAIN_SENT_ID_255648,,蒋介石,宋美龄,孔 促成 了 蒋介石 与 宋美龄 的 婚姻 ， 从而 “ 蒋宋孔 陈 ” 四大家族 影响 了 中国 现代 几十年 的 历史 。,孔 促成 人物一 人物二 婚姻   蒋宋孔 陈  四大家族 影响 中国 现代 几十年 历史,1
TRAIN_SENT_ID_266824,,萧峰,萧远山,慕容博 认为 应为 国家 民族 牺牲 小 我 、 完成 大 我 ， 更进一步 在 他 与 萧远山 、 萧峰 的 对话 表露 出来 。,慕容博 认为 应为 国家 民族 牺牲  完成  更进一步 人物二  人物一 对话 表露,-1
TRAIN_SENT_ID_256815,,朱军,谭梅,问 到 是否 担心 明星 丈夫 “ 红杏出墙 ” ， 谭梅 诚恳 地 表示 ： 当初 答应 朱军 的 求婚 ， 就是 因为 “ 朱军 是 位 诚实 的 男人 ， 能够 给 我 安全感 ” 。,问 是否 担心 明星 丈夫  红杏出墙   人物二 诚恳 表示  当初 答应 人物一 求婚   人物一 位 诚实 男人  能够 安全感,1
TRAIN_SENT_ID_262131,,刘翔,葛天,2015 - 03 - 25 期 ： 超能 大星 探 之 刘翔 葛天 婚后 分居 生活 各自 精彩,期  超能 大星 探 人物一 人物二 婚后 分居 生活 精彩,1
TRAIN_SENT_ID_269943,,姚明,叶莉,2007 年 ： 姚明 与 相恋 了 七年 的 叶莉 步入 婚姻 的 殿堂,年  人物一 相恋 七年 人物二 步入 婚姻 殿堂,1
TRAIN_SENT_ID_284264,,林佩环,张问陶,林佩环 诗作 轶事 : 张问陶 、 林佩环 婚后 伉俪情深 ， 爱意 缠绵 ； 诗酒 唱和 ， 如 神仙 美眷 。,人物一 诗作 轶事  人物二  人物一 婚后 伉俪情深  爱意 缠绵  诗酒 唱和  神仙 美眷,1
TRAIN_SENT_ID_272750,,徐天宏,周绮,徐天宏 和 周绮 完婚 ， 红花 会众 豪杰 闹洞房 一段 ， 最是 好看 。,人物一 人物二 完婚  红花 会众 豪杰 闹洞房 一段  最是 好看,1
TRAIN_SENT_ID_269912,,张默,张国立,张默 一脸 痞相 、 泼辣 的 张澜澜 、 老谋深算 的 张国立 ， 单看 卡司 就 已经 颠覆 游本昌 的 旧版 《 济公 》 。,人物一 一脸 痞相  泼辣 张澜澜  老谋深算 人物二  单看 卡司 已经 颠覆 游本昌 旧版  济公,-1
TRAIN_SENT_ID_283279,,赵文卓,张丹露,社会活动 : 赵文卓 携 夫人 张丹露 来到 了 重庆市 巫溪县 巫溪 中学 老 校区 探访 ， 夫妇 两人 为此 地区 的 贫困学生 捐资助学 基金 10 万元 。,社会活动  人物一 携 夫人 人物二 来到 重庆市 巫溪县 巫溪 中学 老 校区 探访  夫妇 两人 地区 贫困学生 捐资助学 基金  万元,1
TRAIN_SENT_ID_264116,,刘备,孙尚香,望夫台 历史 记载 : 赤壁大战 后 ， 刘备 娶 了 孙权 的 妹妹 孙尚香 ， 夫妻 双双 住 在 东岳 山麓 。,望夫台 历史 记载  赤壁大战  人物一 娶 孙权 妹妹 人物二  夫妻 双双 住 东岳 山麓,1
TRAIN_SENT_ID_261459,,莫绍谦,慕咏飞,婚后 两人 便 分居 生活 ， 莫绍谦 几番 要求 离婚 ， 慕咏飞 以 生意 要挟 维持 。,婚后 两人 便 分居 生活  人物一 几番 要求 离婚  人物二 生意 要挟 维持,1
TRAIN_SENT_ID_283082,,李曼青,李坏,薛采月 之 父 薛青 碧 被 李坏 之 父 李曼青 杀死 ， 采月 从小 立志 要 为 父 报仇 ， 要 用 “ 薛 家剑法 ” 打破 “ 小李飞刀 ” 的 神话 。,薛采月 父 薛青 碧 人物二 父 人物一 杀死  采月 从小 立志 父 报仇   薛 家剑法  打破  小李飞刀  神话,-1
TRAIN_SENT_ID_256385,,李天一,李双江,经 核实 ， 宝马 司机 年龄 15 岁 ， 无 驾照 ， 系 著名 歌唱家 李双江 之子 李天一 。,核实  宝马 司机 年龄  岁  驾照  系 著名 歌唱家 人物二 之子 人物一,-1
TRAIN_SENT_ID_264095,,刘备,孙尚香,三国 时 ， 蜀王 刘备 娶 吴王孙 权之妹 孙尚香 为妻 。,三国 时  蜀王 人物一 娶 吴王孙 权之妹 人物二 为妻,1
TRAIN_SENT_ID_264615,,纪晓芙,杨不悔,与 峨嵋 女弟子 纪晓芙 有 一段 情缘 ， 杨逍 悲 她 去世 ， 一生 不 娶 ， 抚养 女儿 杨不悔 长大 ， 从 桀骜 浪子 转变 为 慈父 。,峨嵋 女弟子 人物一 一段 情缘  杨逍 悲 去世  一生 娶  抚养 女儿 人物二 长大  桀骜 浪子 转变 慈父,-1
TRAIN_SENT_ID_261452,,莫绍谦,慕咏飞,其后 十年 ， 莫绍谦 极力 要求 与 慕咏飞 离婚 ， 两人 关系 势同 水火 ， 婚姻 早已 名存实亡 。,其后 十年  人物一 极力 要求 人物二 离婚  两人 关系 势同 水火  婚姻 早已 名存实亡,1
TRAIN_SENT_ID_254161,,邢夫人,贾赦,在 这 之后 ， 贾赦 才 又 迎娶 了 邢夫人 为 填房 ， 而 邢夫人 却 一直 没有 生育 ， 所以 她 说 “ 倒 是 我 一生 无儿无女 的 ， 一生 干净 ” 。,之后  人物二 迎娶 人物一 填房  人物一 一直 没有 生育  说  倒 一生 无儿无女  一生 干净,1
TRAIN_SENT_ID_278090,,徐克,施南生,而 对于 婚恋 传闻 ， 徐克 表示 ， 个人 的 私生活 不 需要 向 任何人 交待 ， 他 和 施南生 已经 有 了 默契 ， 不 回应 也 没有 新 版本 。,婚恋 传闻  人物一 表示  个人 私生活 需要 任何人 交待  人物二 已经 默契  回应 没有 新 版本,1
TRAIN_SENT_ID_262417,,扶苏,秦始皇,扶苏 自杀 背景 : 秦始皇 统 — 中国 后 ， 扶苏 曾多次 议政 ， 对于 治国 、 安定 天下 颇 有 见 地 。,人物一 自杀 背景  人物二 统  中国  人物一 曾多次 议政  治国  安定 天下 颇 见,-1
TRAIN_SENT_ID_283805,,余姚公主,王溥,余姚公主 简介 : 王琳 娶 梁武帝 妹 义兴 长 公主 ， 子 王铨 又 娶 武帝 女 永嘉 公主 ， 铨子 王溥 娶 武帝 孙女 余姚公主 ， 后 两对 夫妻 都 是 舅表 关系 。,人物一 简介  王琳 娶 梁武帝 妹 义兴 长 公主  子 王铨 娶 武帝 女 永嘉 公主  铨子 人物二 娶 武帝 孙女 人物一  两对 夫妻 舅表 关系,1
TRAIN_SENT_ID_285573,,韩瑜,孙协志,2011 年 4 月底 ， 孙协志 向 女友 韩瑜 求婚 成功 。,年  月底  人物二 女友 人物一 求婚 成功,1
TRAIN_SENT_ID_275944,,黄日华,黄芷晴,1988 年 12 月 7 日 与 黄日华 结婚 ， 1990 年 5 月 2 日生 下 女儿 黄芷晴 ， 婚后 息影 转 作 保险经纪 ， 现为 保险公司 的 高级经理 人员 。,年  月  日 人物一 结婚   年  月  日生 女儿 人物二  婚后 息影 转 作 保险经纪  现为 保险公司 高级经理 人员,-1
TRAIN_SENT_ID_278445,,张成泽,金敬姬,金敬姬 的 丈夫 是 去年 被 处决 的 朝 军事 委员会 副委员长 张成泽 ， 张成泽 落马 之后 ， 金敬姬 鲜有 露面 。,人物二 丈夫 去年 处决 军事 委员会 副委员长 人物一  人物一 落马 之后  人物二 鲜有 露面,1
TRAIN_SENT_ID_282734,,文伽昊,文强,文伽昊 给 文强 收 骨灰 : 2010 年 7 月 7 日 上午 11 点 ， 他们 从 朋友 的 电话 里 得知 文强 已经 被 执行 的 消息 。,人物一 人物二 收 骨灰   年  月  日 上午  点  朋友 电话 里 得知 人物二 已经 执行 消息,-1
TRAIN_SENT_ID_286029,,蒋英,蒋百里,钱均夫 夫妇 希望 有个 女儿 ， 见 蒋百里 的 三 女儿 蒋英 长得 漂亮 ， 天真活泼 ， 便 恳求 蒋百里 夫妇 将 此 女 过继 给 他们 。,钱均夫 夫妇 希望 有个 女儿  见 人物二 三 女儿 人物一 长得 漂亮  天真活泼  便 恳求 人物二 夫妇 女 过继,-1
TRAIN_SENT_ID_272921,,王岳伦,王诗龄,王诗龄 个人 生活 : 王诗龄 的 母亲 是 主持人 李湘 ， 父亲 是 导演 王岳伦 。,人物二 个人 生活  人物二 母亲 主持人 李湘  父亲 导演 人物一,-1
TRAIN_SENT_ID_273192,,黄苗子,郁风,2004 年 ， 黄苗子 郁风 夫妇 一起 庆祝 了 他俩 的 “ 钻石 婚 ” ， 这 标志 着 他们 共享 了 60 年 幸福 的 婚姻 。,年  人物一 人物二 夫妇 一起 庆祝 他俩  钻石 婚   标志 共享  年 幸福 婚姻,1
TRAIN_SENT_ID_256028,,蒋介石,宋美龄,原来 ， 卫立煌 夫妇 在 上海 举行 婚礼 的 时候 ， 正赶上 蒋介石 与 宋美龄 举行 “ 世纪 婚礼 ” ， 朱韵 珩 因此 结识 了 宋美龄 。,原来  卫立煌 夫妇 上海 举行 婚礼  正赶上 人物一 人物二 举行  世纪 婚礼   朱韵 珩 结识 人物二,1
TRAIN_SENT_ID_282423,,欧阳娣娣,欧阳龙,欧阳娣娣 个人 生活 : 欧阳娣娣 的 父亲 欧阳龙 是 台北市 议员 ， 妈妈 是 演员 傅娟 ， 姑姑 是 歌手 欧阳菲菲 。,人物一 个人 生活  人物一 父亲 人物二 台北市 议员  妈妈 演员 傅娟  姑姑 歌手 欧阳菲菲,-1
TRAIN_SENT_ID_282582,,林于超,林依晨,林依晨 个人 情感 : 2014 年 10 月 29 日 下午 ， 林依晨 在 台北 举办 与 林于超 的 订 订婚 喜宴 ( 5 张 ),人物二 个人 情感   年  月  日 下午  人物二 台北 举办 人物一 订 订婚 喜宴   张,1
