rule_id,rule,pattern,frequence,original_label,pos_sent_num,neg_sent_num,final_label
440,人物一/人物二/姐姐,.*人物一.*人物二.*姐姐.*,13,1,1254,926,1
443,人物一/人物二/故事,.*人物一.*人物二.*故事.*,13,1,1131,1141,-1
444,人物一/人物二/日,.*人物一.*人物二.*日.*,13,0,608,356,1
446,人物一/妹妹/人物二,.*人物一.*妹妹.*人物二.*,13,1,1125,824,1
457,人物二/儿子/人物一,.*人物二.*儿子.*人物一.*,13,1,270,80,1
474,年/人物二/弟子/人物一,.*年.*人物二.*弟子.*人物一.*,13,-1,1101,1253,-1
476,施耐庵/二取/人物一/人物二,.*施耐庵.*二取.*人物一.*人物二.*,13,-1,828,1325,-1
477,施耐庵/二取/人物一/李逵/人物二,.*施耐庵.*二取.*人物一.*李逵.*人物二.*,13,-1,416,1014,-1
478,施耐庵/二取/人物一/李逵/独劈/人物二,.*施耐庵.*二取.*人物一.*李逵.*独劈.*人物二.*,13,-1,276,823,-1
479,施耐庵/二取/人物一/独劈/人物二,.*施耐庵.*二取.*人物一.*独劈.*人物二.*,13,-1,513,1120,-1
480,施耐庵/人物一/人物二,.*施耐庵.*人物一.*人物二.*,13,-1,1191,1656,-1
481,施耐庵/人物一/李逵/人物二,.*施耐庵.*人物一.*李逵.*人物二.*,13,-1,796,1331,-1
482,施耐庵/人物一/李逵/独劈/人物二,.*施耐庵.*人物一.*李逵.*独劈.*人物二.*,13,-1,496,1114,-1
483,施耐庵/人物一/独劈/人物二,.*施耐庵.*人物一.*独劈.*人物二.*,13,-1,964,1482,-1
484,施耐庵/戴宗/二取/人物一/人物二,.*施耐庵.*戴宗.*二取.*人物一.*人物二.*,13,-1,387,954,-1
485,施耐庵/戴宗/二取/人物一/李逵/人物二,.*施耐庵.*戴宗.*二取.*人物一.*李逵.*人物二.*,13,-1,222,712,-1
486,施耐庵/戴宗/二取/人物一/独劈/人物二,.*施耐庵.*戴宗.*二取.*人物一.*独劈.*人物二.*,13,-1,259,798,-1
487,施耐庵/戴宗/人物一/人物二,.*施耐庵.*戴宗.*人物一.*人物二.*,13,-1,770,1253,-1
488,施耐庵/戴宗/人物一/李逵/人物二,.*施耐庵.*戴宗.*人物一.*李逵.*人物二.*,13,-1,381,927,-1
489,施耐庵/戴宗/人物一/李逵/独劈/人物二,.*施耐庵.*戴宗.*人物一.*李逵.*独劈.*人物二.*,13,-1,256,783,-1
490,施耐庵/戴宗/人物一/独劈/人物二,.*施耐庵.*戴宗.*人物一.*独劈.*人物二.*,13,-1,483,1065,-1
491,施耐庵/水浒/二取/人物一/人物二,.*施耐庵.*水浒.*二取.*人物一.*人物二.*,13,-1,340,936,-1
492,施耐庵/水浒/二取/人物一/李逵/人物二,.*施耐庵.*水浒.*二取.*人物一.*李逵.*人物二.*,13,-1,218,716,-1
493,施耐庵/水浒/二取/人物一/独劈/人物二,.*施耐庵.*水浒.*二取.*人物一.*独劈.*人物二.*,13,-1,247,798,-1
494,施耐庵/水浒/人物一/人物二,.*施耐庵.*水浒.*人物一.*人物二.*,13,-1,660,1234,-1
495,施耐庵/水浒/人物一/李逵/人物二,.*施耐庵.*水浒.*人物一.*李逵.*人物二.*,13,-1,338,940,-1
496,施耐庵/水浒/人物一/李逵/独劈/人物二,.*施耐庵.*水浒.*人物一.*李逵.*独劈.*人物二.*,13,-1,244,792,-1
497,施耐庵/水浒/人物一/独劈/人物二,.*施耐庵.*水浒.*人物一.*独劈.*人物二.*,13,-1,433,1049,-1
498,施耐庵/水浒/戴宗/二取/人物一/人物二,.*施耐庵.*水浒.*戴宗.*二取.*人物一.*人物二.*,13,-1,201,670,-1
499,施耐庵/水浒/戴宗/人物一/人物二,.*施耐庵.*水浒.*戴宗.*人物一.*人物二.*,13,-1,311,878,-1
500,施耐庵/水浒/戴宗/人物一/李逵/人物二,.*施耐庵.*水浒.*戴宗.*人物一.*李逵.*人物二.*,13,-1,202,663,-1
501,施耐庵/水浒/戴宗/人物一/独劈/人物二,.*施耐庵.*水浒.*戴宗.*人物一.*独劈.*人物二.*,13,-1,231,750,-1
502,施耐庵/水浒/第五十三回/二取/人物一/人物二,.*施耐庵.*水浒.*第五十三回.*二取.*人物一.*人物二.*,13,-1,208,691,-1
503,施耐庵/水浒/第五十三回/人物一/人物二,.*施耐庵.*水浒.*第五十三回.*人物一.*人物二.*,13,-1,327,896,-1
504,施耐庵/水浒/第五十三回/人物一/李逵/人物二,.*施耐庵.*水浒.*第五十三回.*人物一.*李逵.*人物二.*,13,-1,213,697,-1
505,施耐庵/水浒/第五十三回/人物一/独劈/人物二,.*施耐庵.*水浒.*第五十三回.*人物一.*独劈.*人物二.*,13,-1,243,771,-1
506,施耐庵/水浒/第五十三回/戴宗/人物一/人物二,.*施耐庵.*水浒.*第五十三回.*戴宗.*人物一.*人物二.*,13,-1,195,656,-1
507,施耐庵/第五十三回/二取/人物一/人物二,.*施耐庵.*第五十三回.*二取.*人物一.*人物二.*,13,-1,391,969,-1
508,施耐庵/第五十三回/二取/人物一/李逵/人物二,.*施耐庵.*第五十三回.*二取.*人物一.*李逵.*人物二.*,13,-1,234,743,-1
509,施耐庵/第五十三回/二取/人物一/独劈/人物二,.*施耐庵.*第五十三回.*二取.*人物一.*独劈.*人物二.*,13,-1,273,823,-1
510,施耐庵/第五十三回/人物一/人物二,.*施耐庵.*第五十三回.*人物一.*人物二.*,13,-1,729,1239,-1
511,施耐庵/第五十三回/人物一/李逵/人物二,.*施耐庵.*第五十三回.*人物一.*李逵.*人物二.*,13,-1,396,977,-1
512,施耐庵/第五十三回/人物一/李逵/独劈/人物二,.*施耐庵.*第五十三回.*人物一.*李逵.*独劈.*人物二.*,13,-1,271,816,-1
513,施耐庵/第五十三回/人物一/独劈/人物二,.*施耐庵.*第五十三回.*人物一.*独劈.*人物二.*,13,-1,486,1076,-1
514,施耐庵/第五十三回/戴宗/二取/人物一/人物二,.*施耐庵.*第五十三回.*戴宗.*二取.*人物一.*人物二.*,13,-1,226,701,-1
515,施耐庵/第五十三回/戴宗/人物一/人物二,.*施耐庵.*第五十三回.*戴宗.*人物一.*人物二.*,13,-1,364,912,-1
516,施耐庵/第五十三回/戴宗/人物一/李逵/人物二,.*施耐庵.*第五十三回.*戴宗.*人物一.*李逵.*人物二.*,13,-1,214,696,-1
517,施耐庵/第五十三回/戴宗/人物一/独劈/人物二,.*施耐庵.*第五十三回.*戴宗.*人物一.*独劈.*人物二.*,13,-1,255,767,-1
611,第五十三回/二取/人物一/李逵/独劈/人物二,.*第五十三回.*二取.*人物一.*李逵.*独劈.*人物二.*,13,-1,313,854,-1
612,第五十三回/二取/人物一/独劈/人物二,.*第五十三回.*二取.*人物一.*独劈.*人物二.*,13,-1,610,1186,-1
613,第五十三回/人物一/李逵/独劈/人物二,.*第五十三回.*人物一.*李逵.*独劈.*人物二.*,13,-1,578,1135,-1
614,第五十三回/人物一/独劈/人物二,.*第五十三回.*人物一.*独劈.*人物二.*,13,-1,1085,1559,-1
615,第五十三回/戴宗/二取/人物一/独劈/人物二,.*第五十三回.*戴宗.*二取.*人物一.*独劈.*人物二.*,13,-1,294,818,-1
617,第五十三回/戴宗/人物一/独劈/人物二,.*第五十三回.*戴宗.*人物一.*独劈.*人物二.*,13,-1,568,1109,-1
