sent_id,entity1,entity2,sent,processed_sent,label,hard_match
TRAIN_SENT_ID_282275,张孝若,张謇,历任 校长 有 张謇 、 张詧 、 张孝若 、 郑亦同 、 徐静仁 、 唐启宇 等 ；,历任 校长 人物二  张詧  人物一  郑亦同  徐静仁  唐启宇,-1,0
TRAIN_SENT_ID_277378,樊姬,楚庄王,⑷ 樊姬 ： 春秋 五霸 之一 楚庄王 的 宠妃 。,⑷ 人物一  春秋 五霸 人物二 宠妃,1,0
TRAIN_SENT_ID_257982,夏东海,刘梅,于是 ， 夏东海 和 刘梅 拉 着 是 刘星 、 夏雨 ， 买 了 好多 东西 去 看 那个 被 撞伤 的 老奶奶 ， 老奶奶 的 儿媳妇 接待 了 他们 。,人物一 人物二 拉 刘星  夏雨  买 好多 东西 撞伤 老奶奶  老奶奶 儿媳妇 接待,1,0
TRAIN_SENT_ID_264335,贾环,赵姨娘,赵姨娘 再 不 着 调 也 是 探春 的 亲娘 ， 贾环 是 亲 弟弟 ， 不看僧面看佛面 ， 打狗 还 得 看 主人 呢 ， 这番 打闹 ， 岂 不是 让 探春 没脸 吗 ？,人物二 调 探春 亲娘  人物一 亲 弟弟  不看僧面看佛面  打狗 主人  这番 打闹  岂 探春 没脸,-1,0
TRAIN_SENT_ID_287323,汪泓,汪关,汪关 遗印 和 汪泓 篆刻,人物二 遗印 人物一 篆刻,-1,0
TRAIN_SENT_ID_284808,林英雄,白木喜,姐姐 ： 白金 喜 、 白木喜 、 白水喜 姐夫 ： 刘明辉 、 林英雄 、 程舒航,姐姐  白金 喜  人物二  白水喜 姐夫  刘明辉  人物一  程舒航,1,0
TRAIN_SENT_ID_263155,胡亥,秦始皇,原文 : 《 史记 · 秦始皇 本纪 》 ： “ （ 胡亥 ） 诛 （ 李 ） 斯 、 （ 冯 ） 去 疾 ， 任用 赵高 。,原文   史记  人物二 本纪     人物一  诛  李  斯   冯  疾  任用 赵高,-1,0
TRAIN_SENT_ID_268260,王小利,李琳,赵本山 、 王小利 、 李琳,赵本山  人物一  人物二,1,0
TRAIN_SENT_ID_273975,白素,卫斯理,白素 地 心 洪炉 （ 1965 ） : 南极 专家 张坚 是 卫斯理 的 朋友 。,人物一 心 洪炉     南极 专家 张坚 人物二 朋友,1,0
TRAIN_SENT_ID_282648,杜江,杜宇麒,杜江 与 杜宇麒,人物一 人物二,-1,0
TRAIN_SENT_ID_269037,刘德华,朱丽倩,有人 目睹 刘德华 在 该 大厦 门外 等候 朱丽倩 下课 。,有人 目睹 人物一 大厦 门外 等候 人物二 下课,1,0
TRAIN_SENT_ID_264135,刘备,孙尚香,效果 ： a ： 孙尚香 加入 刘备 麾下,效果    人物二 加入 人物一 麾下,1,0
TRAIN_SENT_ID_274721,龙啸云,林诗音,他 与 林诗音 订下 婚约 ， 却 将 最 爱 之 人 拱手 让给 义兄 龙啸云 。,人物二 订下 婚约  爱 拱手 让给 义兄 人物一,1,0
TRAIN_SENT_ID_262847,熊美玲,林秋离,No.15 不要 这样 对 我 好 吗 林秋离 熊美玲 金佩珊,不要 人物二 人物一 金佩珊,1,0
TRAIN_SENT_ID_257325,贾珍,尤氏,⒈ 贾珍 — — 尤氏 ： 茄官 、 银蝶 儿 、 万儿 、 来升 、 喜儿 、 寿儿 、 栓儿 。,⒈ 人物一   人物二  茄官  银蝶  万儿  来升  喜儿  寿儿  栓儿,1,0
