sent_id,entity1,entity2,sent,processed_sent,label
TRAIN_SENT_ID_268992,韩非,荀子,《 诗经 》 《 史记 》 《 庄子 》 《 老子 》 《 论语 》 《 孟子 》 《 韩非 子 》 《 楚辞 》 《 左传 》 《 荀子 》,诗经   史记   庄子   老子   论语   孟子   人物一 子   楚辞   左传   人物二,-1
TRAIN_SENT_ID_273651,姜子牙,元始天尊,姜子牙 : 元始天尊 的 门人 。,人物一  人物二 门人,-1
TRAIN_SENT_ID_255414,罗成,秦琼,白马 银枪 的 小王爷 罗成 、 义薄云天 的 表哥 秦琼 、 睿智 英武 的 秦王 李世民 … …,白马 银枪 小王爷 人物一  义薄云天 表哥 人物二  睿智 英武 秦王 李世民,1
TRAIN_SENT_ID_270818,伍天锡,伍云召,实力 在 伍天锡 之下 罗成 之上 ） ( 韩擒虎 能 挡 伍云召 十余 合 ， 与 魏文通 相当 ）,实力 人物一 之下 罗成 之上   韩擒虎 挡 人物二 十余 合  魏文通 相当,1
TRAIN_SENT_ID_257042,洪敬尧,洪荣宏,11 . 新 放浪 人生 / 洪荣宏 ． 洪敬尧,新 放浪 人生  人物二 ． 人物一,1
TRAIN_SENT_ID_259397,凌音,凌波,凌音 找 凌波 ， 告诉 她 自己 是 第一次 代表 师门 出席 武林 盛事 ， 有些 紧张 。,人物一 找 人物二  告诉 第一次 代表 师门 出席 武林 盛事  紧张,1
TRAIN_SENT_ID_257796,林平之,岳不群,由于 余沧海 的 一掌 有毒 ， 岳不群 要 带 岳灵珊 前去 解毒 ， 吩咐 林平之 同 令狐冲 先 去 华山派 。,余沧海 一掌 有毒  人物二 带 岳灵珊 前去 解毒  吩咐 人物一 令狐冲 先 华山派,-1
TRAIN_SENT_ID_260945,杨露禅,陈长兴,第三十四回 杨露禅 力斗 金钱豹 陈长兴 遗嘱 太极图,第三十四回 人物一 力斗 金钱豹 人物二 遗嘱 太极图,-1
TRAIN_SENT_ID_250355,赵飞燕,赵合德,在 这样 的 理论指导 下 ， 他 长期 与 外戚 集团 王氏 对立 ， 也 曾 进言 阻止 赵飞燕 、 赵合德 姐妹 晋封 。,理论指导  长期 外戚 集团 王氏 对立  进言 阻止 人物一  人物二 姐妹 晋封,1
TRAIN_SENT_ID_253073,颜回,孔子,孔子 问 颜回 ， 如何 不种 梅 ？,人物二 问 人物一  不种 梅,-1
TRAIN_SENT_ID_266875,尤二姐,尤氏,贾珍 将 “ 贾琏 要 娶 尤二姐 做 二房 之意 ” 告诉 了 尤氏 。,贾珍  贾琏 娶 人物一 做 二房 之意  告诉 人物二,1
TRAIN_SENT_ID_249538,李蔡,李广,李贤 ： 汉兴 ， 义渠 公孙贺 、 傅介子 ， 成纪 李广 、 李蔡 ， 上 邽 赵充国 ， 狄道 辛武贤 ， 皆 名将 也 。,李贤  汉兴  义渠 公孙贺  傅介子  成纪 人物二  人物一  邽 赵充国  狄道 辛武贤  皆 名将,1
TRAIN_SENT_ID_266198,李昌镐,曹薰铉,在 李昌镐 、 曹薰铉 盛行于 世 的 今天 ， 胡耀宇 依然 保持 着 对 小林光一 的 偏好 。,人物一  人物二 盛行于 世 今天  胡耀宇 依然 保持 小林光一 偏好,-1
TRAIN_SENT_ID_257561,毛泽民,毛泽东,28 ． 毛泽民 血洒 新疆 毛泽东 念弟 情长,． 人物一 血洒 新疆 人物二 念弟 情长,1
TRAIN_SENT_ID_265404,薛谭,秦青,歌梁 详细 释义 : 歌梁 典源 : 《 列子 古注 今译 》 卷 五 〈 汤 问篇 〉 薛谭 学 讴于 秦青 ， 未穷 青之技 ， 自谓 尽 之 ； 遂 辞 归 。,歌梁 详细 释义  歌梁 典源   列子 古注 今译  卷 五  汤 问篇  人物一 学 讴于 人物二  未穷 青之技  自谓  遂 辞,-1
TRAIN_SENT_ID_252896,颜回,孔子,这一 奇迹 般的 发现 ， 将 孔子 的 游兴 振至 高潮 ， 忙呼 颜回 观望 。,这一 奇迹 发现  人物二 游兴 振至 高潮  忙呼 人物一 观望,-1
TRAIN_SENT_ID_249171,皮皮鲁,鲁西西,皮皮鲁 和 鲁西西 用 肥皂 订书机 成功 改写 了 历史 。,人物一 人物二 肥皂 订书机 成功 改写 历史,1
TRAIN_SENT_ID_275526,王小虎,赵本山,王小虎 ： （ 朝 赵本山 ） 师傅 ， 太 对不起 了 ， 你 那 忽悠 智商 太低 了 ， 跟 你 也 学不着 啥 玩意儿 ！,人物一   人物二  师傅  太 对不起  忽悠 智商 太低  学不着 玩意儿,-1
TRAIN_SENT_ID_283113,朱祝芬,戚雅仙,戚雅仙 主演 后志贞 ， 周雅琴 、 朱祝芬 演前 志贞 ， 杨文蔚 演 徐元 宰 。,人物二 主演 后志贞  周雅琴  人物一 演前 志贞  杨文蔚 演 徐元 宰,-1
TRAIN_SENT_ID_259959,叶家妤,白家绮,叶家妤 和 白家绮 ： 演员,人物一 人物二  演员,1
TRAIN_SENT_ID_279517,汪绿萍,汪紫菱,汪紫菱 主要 成员名单 : 萧蔷 饰 汪绿萍 － － － 姐姐,人物二 主要 成员名单  萧蔷 饰 人物一    姐姐,1
TRAIN_SENT_ID_275458,李汉俊,李书城,李书城 对此 加以 保护 ， 叮嘱 李汉俊 一定 小声 交谈 ， 不要 惊动 邻里 ， 惹起 外人 的 注意 。,人物二 对此 保护  叮嘱 人物一 一定 小声 交谈  不要 惊动 邻里  惹起 外人 注意,1
TRAIN_SENT_ID_258814,张无忌,殷离,1994 ， 台湾 台视 ， 马景涛 饰 张无忌 ， 叶童 饰 赵敏 ， 周海媚 饰 周芷若 ， 陈孝萱 饰小昭 ， 杨宝玮 饰 殷离 （ 蛛儿 ）,台湾 台视  马景涛 饰 人物一  叶童 饰 赵敏  周海媚 饰 周芷若  陈孝萱 饰小昭  杨宝玮 饰 人物二  蛛儿,1
TRAIN_SENT_ID_279511,殷梨亭,张三丰,张三丰 百岁 生日 那天 ， 纪晓芙 一 露面 ， 殷梨亭 不但 脸红 ， 竟然 连 招呼 都 不敢 上去 打 一声 。,人物二 百岁 生日 那天  纪晓芙 露面  人物一 脸红  竟然 招呼 不敢 上去 一声,-1
TRAIN_SENT_ID_250405,赵飞燕,赵合德,赵飞燕 、 赵合德 ， 那张 被 欲望 撑破 的 脸,人物一  人物二  那张 欲望 撑破 脸,1
TRAIN_SENT_ID_266182,李昌镐,曹薰铉,第 12 届 LG 杯 第一轮 胜 李昌镐 ； 第二轮 胜 曹薰铉,届  杯 第一轮 胜 人物一  第二轮 胜 人物二,-1
TRAIN_SENT_ID_249304,陆无双,程英,那 【 程英 姑娘 】 ， 陆无双 姑娘 ， 也 都 是 【 品貌双全 】 、 重情 笃义 之 人 。,人物二 姑娘   人物一 姑娘   品貌双全   重情 笃义,1
TRAIN_SENT_ID_274087,南宫敬叔,孔子,相传 孔子 与 南宫敬叔 适周 问礼于 老聃 ， 问 乐于 苌 弘 。,相传 人物二 人物一 适周 问礼于 老聃  问 乐于 苌 弘,-1
TRAIN_SENT_ID_276220,姜丽文,姜文杰,姜丽文 姜文杰 秦沛,人物一 人物二 秦沛,1
TRAIN_SENT_ID_250101,武敦儒,武修文,第一篇 ， 写 武敦儒 、 武修文 。,第一篇  写 人物一  人物二,1
TRAIN_SENT_ID_269726,薛洋,薛之荔,楚牧 的 母亲 ， 薛洋 、 薛之荔 的 继母 ， 性格 大大咧咧 ， 是 一位 宽容 善良 的 女性 。,楚牧 母亲  人物一  人物二 继母  性格 大大咧咧  一位 宽容 善良 女性,1
TRAIN_SENT_ID_264219,陈真,霍元甲,他 演唱 的 《 莫愁湖 》 、 《 济公 》 、 《 霍元甲 》 、 《 陈真 》 等 电视剧 插曲 和 流行曲 ， 可以 乱真 。,演唱  莫愁湖    济公    人物二    人物一  电视剧 插曲 流行曲  乱真,-1
TRAIN_SENT_ID_267576,吴魏,吴狄,当然 对于 伍媚 来说 ， 她 也 在 吴魏 与 吴狄 之间 摇摆 。,伍媚  人物一 人物二 之间 摇摆,1
TRAIN_SENT_ID_265732,李三思,李三省,景天 为 他 的 两个 儿子 取名 李三思 、 李三省 ， 意 为 “ 三思而后行 ” “ 吾 日 三 省吾身 ” ， 为 他 的 客栈 取名 “ 仙剑 客栈 ” 。,景天 两个 儿子 取名 人物一  人物二  意  三思而后行   吾 日 三 省吾身   客栈 取名  仙剑 客栈,1
TRAIN_SENT_ID_271235,马季,侯宝林,侯宝林 、 郭启儒 、 刘宝瑞 、 郭全宝 、 李文华 、 马季 和 关学曾 等 人 的 家属 纷纷表示 要 加入 这样 的 团体 。,人物二  郭启儒  刘宝瑞  郭全宝  李文华  人物一 关学曾 家属 纷纷表示 加入 团体,-1
TRAIN_SENT_ID_278783,万寿公主,广德公主,7 家族 成员 : 皇后 : 元昭皇后 晁氏 ， 晁 皇后 生 唐懿宗 、 万寿公主 ， 广德公主 ， 晁美人 逝世 后 被 追封 昭容 、 皇太后 ， 后 被 追 谥 为 元昭皇后 。,家族 成员  皇后  元昭皇后 晁氏  晁 皇后 生 唐懿宗  人物一  人物二  晁美人 逝世 追封 昭容  皇太后  追 谥 元昭皇后,1
TRAIN_SENT_ID_253000,颜回,孔子,孔子 回答 ： “ 颜回 的 仁爱 超过 我 。 ”,人物二 回答   人物一 仁爱 超过,-1
TRAIN_SENT_ID_266218,蓝提斯,谢加图,其 性格 沈默寡言 ， 相比 兄长 谢加图 的 稳重 ， 蓝提斯 显得 与世无争 。,性格 沈默寡言  相比 兄长 人物二 稳重  人物一 显得 与世无争,1
TRAIN_SENT_ID_268963,韩非,荀子,韩非 的 老师 荀子 就 谈过 等级 差别 问题 ， 认为 古代 天子 的 享受 是 应该 的 。,人物一 老师 人物二 谈过 等级 差别 问题  认为 古代 天子 享受 应该,-1
TRAIN_SENT_ID_250606,鲁西西,皮皮鲁,皮皮鲁 、 鲁西西 、 大灰狼 罗克 、 舒克和贝塔 是 他 笔下 的 人物 。,人物二  人物一  大灰狼 罗克  舒克和贝塔 笔下 人物,1
TRAIN_SENT_ID_262726,周厚恩,周厚安,育有 一男一女 ， 分别 是 周厚安 和 周厚恩 ， 。,育有 一男一女  人物二 人物一,1
TRAIN_SENT_ID_252398,颜回,孔子,卜子 熟知 并 记录 了 孔子 闲居 期间 的 言论 话语 ， 其 学问 比 颜回 、 端木赐 都 较 早 达到 了 精深 的 阶段 。,卜子 熟知 记录 人物二 闲居 期间 言论 话语  学问 人物一  端木赐 早 达到 精深 阶段,-1
TRAIN_SENT_ID_265434,薛谭,秦青,原文 ： 薛谭 学 讴于 秦青 ， 未穷 青之技 ， 自谓 尽 之 ； 遂 辞 归 。,原文  人物一 学 讴于 人物二  未穷 青之技  自谓  遂 辞,-1
TRAIN_SENT_ID_252680,颜回,孔子,颜路 个人信息 : 颜回 早逝 ， 颜无繇 因 家里 穷 ， 就 请求 孔子 把 车子 卖 了 来 帮 他 安葬 。,颜路 个人信息  人物一 早逝  颜无繇 家里 穷  请求 人物二 车子 卖 帮 安葬,-1
TRAIN_SENT_ID_250375,赵飞燕,赵合德,刘骜 不愿 去 招惹 赵飞燕 ， 便 向 赵合德 打听 原因 。,刘骜 不愿 招惹 人物一  便 人物二 打听 原因,1
TRAIN_SENT_ID_266717,龙幽,龙溟,使用者 ： 龙溟 、 龙幽,使用者  人物二  人物一,1
TRAIN_SENT_ID_269354,王中军,王中磊,企业 领袖 ： 柳传志 、 李彦宏 、 马化腾 、 牛根生 、 陈旭东 、 虞锋 、 王中军 、 王中磊 、 冯东明 、 于冬 、 邹其方 …,企业 领袖  柳传志  李彦宏  马化腾  牛根生  陈旭东  虞锋  人物一  人物二  冯东明  于冬  邹其方,1
TRAIN_SENT_ID_255438,罗成,秦琼,程咬金 和 秦琼 率先 高飞 ， 单单 罗成 留下来 了 。,程咬金 人物二 率先 高飞  单单 人物一 留下来,1
TRAIN_SENT_ID_262269,尤二姐,尤三姐,乙 那 是 《 红楼梦 》 ， 尤三姐 、 尤二姐 ！,乙  红楼梦   人物二  人物一,1
TRAIN_SENT_ID_259653,公孙胜,罗真人,此后 公孙胜 以 罗真人 所教 “ 五雷 天罡 正法 ” ， 破 了 高廉 的 妖术 。,此后 人物一 人物二 所教  五雷 天罡 正法   破 高廉 妖术,-1
TRAIN_SENT_ID_259388,温策,温慧,温策 ： 犯妇 温慧 ， 曾 在 胜州 自称为 蜀山 派 做事 ， 适才 在 山下 被 我 捉拿 ， 旋即 逃脱 ， 我 料定 她 逃 上 蜀山 藏匿 。,人物一  犯妇 人物二  胜州 自称为 蜀山 派 做事  适才 山下 捉拿  旋即 逃脱  料定 逃 蜀山 藏匿,1
TRAIN_SENT_ID_265418,薛谭,秦青,列子 · 汤问 第十一部分 : 列子 · 汤问 原文 : 薛谭 学 讴于 秦青 ① ， 未穷 青之技 ， 自谓 尽 之 ， 遂 辞 归 。,列子  汤问 第十一部分  列子  汤问 原文  人物一 学 讴于 人物二 ①  未穷 青之技  自谓  遂 辞,-1
TRAIN_SENT_ID_260587,金敬姬,金正日,小池 百合 子 写道 ： “ 金正日 对 唯一 胞妹 金敬姬 信任 有加 。,小池 百合 子 写道   人物二 唯一 胞妹 人物一 信任 有加,1
TRAIN_SENT_ID_261691,程英,陆无双,纯净 的 小龙女 、 刁蛮 无理 的 郭 芙 、 爽朗 活泼 的 郭襄 、 理智 优雅 的 程英 、 泼辣 的 陆无双 、 痴情 的 公孙绿萼 都 深恋 着 杨过 。,纯净 小龙女  刁蛮 无理 郭 芙  爽朗 活泼 郭襄  理智 优雅 人物一  泼辣 人物二  痴情 公孙绿萼 深恋 杨过,1
TRAIN_SENT_ID_266185,李昌镐,曹薰铉,他 与 李昌镐 、 曹薰铉 、 刘昌赫 合称 “ 韩国 棋坛 四大 金刚 ” 。,人物一  人物二  刘昌赫 合称  韩国 棋坛 四大 金刚,-1
TRAIN_SENT_ID_258824,张无忌,殷离,2003 ， 亚环 影音 ， 苏有朋 饰 张无忌 ， 贾静雯 饰 赵敏 ， 高圆圆 饰 周芷若 ， 陈秀丽 饰小昭 ， 陈莎莎 （ 陈紫函 ） 饰 殷离 （ 蛛儿 ）,亚环 影音  苏有朋 饰 人物一  贾静雯 饰 赵敏  高圆圆 饰 周芷若  陈秀丽 饰小昭  陈莎莎  陈紫函  饰 人物二  蛛儿,1
