sent_id,entity1,entity2,sent,processed_sent,label,hard_match
TRAIN_SENT_ID_259797,李偲菘,李伟菘,最佳 制作 人 ： 阿弟仔 、 李偲菘 、 李伟菘 （ 蔡依林 《 舞娘 》 ） 蒙牛 酸酸乳 音乐 风云榜 摇滚 部分 : 最佳 摇滚歌手 ： 窦唯 《 雨吁 》,最佳 制作  阿弟仔  人物一  人物二  蔡依林  舞娘   蒙牛 酸酸乳 音乐 风云榜 摇滚 部分  最佳 摇滚歌手  窦唯  雨吁,-1,0
TRAIN_SENT_ID_261327,罗松,罗成,第 二百八十 五章 罗松 战 罗成,二百八十 五章 人物一 战 人物二,-1,0
TRAIN_SENT_ID_282513,张宇,蔡宗政,只是 这 一切 的 荣景 似乎 随著 张宇 约 满 离开 、 凡人 各自 分 飞 、 蔡宗政 与 脑瘤 搏斗 而 宣告 结束 。,荣景 似乎 随著 人物一 约 满 离开  凡人 分 飞  人物二 脑瘤 搏斗 宣告 结束,1,0
TRAIN_SENT_ID_255349,贾午,贾南风,521 董承 522 董旻 523 董昭 524 董厥 525 董衡 526 董袭 527 虞翻 528 贾午 529 贾充 530 贾南风,董承  董旻  董昭  董厥  董衡  董袭  虞翻  人物一  贾充  人物二,-1,0
TRAIN_SENT_ID_269923,沈春阳,赵本山,由 沈春阳 初次 担纲 女主角 ， 宋小宝 担任 男主角 ， 赵本山 、 小 沈阳 、 赵海燕 、 红孩 联合 出演 。,人物一 初次 担纲 女主角  宋小宝 担任 男主角  人物二  沈阳  赵海燕  红孩 联合 出演,1,0
TRAIN_SENT_ID_257807,林平之,岳不群,准备 处理 林平之 的 时候 不 巧遇 上 岳不群 ， 与 之 相斗 而 不 敌 。,准备 处理 人物一 巧遇 人物二  相斗 敌,1,0
TRAIN_SENT_ID_251890,曹薰铉,李昌镐,本届 杯赛 刘昌赫 第一个 出场 ， 先后 战胜 了 曹薰铉 、 李世石 等 高手 一路 连胜 ， 已 实现 了 13 连胜 ， 正在 向 李昌镐 的 纪录 逼近 。,本届 杯赛 刘昌赫 第一个 出场  先后 战胜 人物一  李世石 高手 一路 连胜  实现  连胜  正在 人物二 纪录 逼近,1,0
TRAIN_SENT_ID_260575,金敬姬,金正日,韩国 情报部门 官员 认为 金正恩 会 重用 金与正 ， 金正日 让 金敬姬 担任 了 党 部长 和 党 政治局 委员 。,韩国 情报部门 官员 认为 金正恩 会 重用 金与正  人物二 人物一 担任 党 部长 党 政治局 委员,-1,0
TRAIN_SENT_ID_260731,薛丁山,薛金莲,窦仙童 爱上 了 薛丁山 ； 窦一虎 爱上 了 薛金莲 。,窦仙童 爱上 人物一  窦一虎 爱上 人物二,-1,0
TRAIN_SENT_ID_271263,马季,侯宝林,马季 和 师胜杰 都候 宝林 先生 的 徒弟 ， 而 马三立 先生 是 侯宝林 的 师叔 。,人物一 师胜杰 都候 宝林 先生 徒弟  马三立 先生 人物二 师叔,1,0
TRAIN_SENT_ID_255434,罗成,秦琼,贾家楼 四十六 友 ， 最铁 的 三个 就 秦琼 、 程咬金 与 罗成 。,贾家楼 四十六 友  最铁 三个 人物二  程咬金 人物一,-1,0
TRAIN_SENT_ID_267529,扈成,扈三娘,《 扈家庄 》 之 扈三娘 ( 水浒 故事 扈家庄 庄主 扈成 之妹 。,扈家庄  人物二  水浒 故事 扈家庄 庄主 人物一 之妹,-1,0
TRAIN_SENT_ID_264256,陈真,霍元甲,这 两人 果然 不负 邱德根 厚望 ， 先后 推出 古装 武打片 《 霍元甲 》 、 《 陈真 》 、 《 霍东阁 》 等片 。,两人 不负 邱德根 厚望  先后 推出 古装 武打片  人物二    人物一    霍东阁  等片,1,0
TRAIN_SENT_ID_273370,杨锐,张之洞,张之洞 急电 挽救 他 的 得意门生 杨锐 而 不得 ， 为此 ， 他 深感 痛惜 。,人物二 急电 挽救 得意门生 人物一   深感 痛惜,1,0
TRAIN_SENT_ID_249316,陆无双,程英,黄蓉 一看 便 知 程英 “ 外 和 内刚 ” ， “ 外刚内柔 ” 的 陆无双 ， 有 了 这位 守护 天使 ， 以后 都 不会 受人 欺侮 了 。,黄蓉 一看 便 知 人物二  外 内刚    外刚内柔  人物一  这位 守护 天使  以后 不会 受人 欺侮,-1,0
TRAIN_SENT_ID_267517,裘千丈,裘千仞,2008 《 射雕 英雄传 》 饰 裘千仞 裘千丈,射雕 英雄传  饰 人物二 人物一,-1,0
TRAIN_SENT_ID_255317,卫夫人,王羲之,卫夫人 给 鹅 点睛 : 一次 ， 王羲之 画鹅 ， 什么 都 画 好 了 ， 就是 眼睛 左 也 不成 右 不成 ， 总 感觉 画 的 不好 。,人物一 鹅 点睛  一次  人物二 画鹅  画  眼睛 左 右  总 感觉 画 不好,1,0
TRAIN_SENT_ID_260713,王重阳,全真七子,王重阳 与 全真七子,人物一 人物二,1,0
TRAIN_SENT_ID_283113,朱祝芬,戚雅仙,戚雅仙 主演 后志贞 ， 周雅琴 、 朱祝芬 演前 志贞 ， 杨文蔚 演 徐元 宰 。,人物二 主演 后志贞  周雅琴  人物一 演前 志贞  杨文蔚 演 徐元 宰,1,0
TRAIN_SENT_ID_271278,马季,侯宝林,师父 ： 侯宝林 师爷 ： 朱阔泉 师兄 ： 黄铁良 、 马季 、 殷培田 、 丁广泉 、 师胜杰 等 。,师父  人物二 师爷  朱阔泉 师兄  黄铁良  人物一  殷培田  丁广泉  师胜杰,1,0
TRAIN_SENT_ID_259801,李偲菘,李伟菘,听 ， MUNAN 由 华语 乐坛 顶级 音乐 人 李偲菘 、 李伟菘 、 易家扬 ， 联袂 打造 ， 洗尽铅华 的 温暖 女声 ， 让 人 欲罢不能 的 好 音乐 。,听   华语 乐坛 顶级 音乐 人物一  人物二  易家扬  联袂 打造  洗尽铅华 温暖 女声  欲罢不能 音乐,-1,0
TRAIN_SENT_ID_253106,颜回,孔子,汉高祖 刘邦 过 曲阜 ， 祭祀 孔子 ， 首以 颜回 配享 。,汉高祖 刘邦 曲阜  祭祀 人物二  首以 人物一 配享,1,0
TRAIN_SENT_ID_249279,皮皮鲁,鲁西西,克隆 出来 的 皮皮鲁 还 救 了 鲁西西 的 命 。,克隆 人物一 救 人物二 命,-1,0
TRAIN_SENT_ID_255474,罗成,秦琼,罗成 那种 事事 争强好胜 的 性格 的确 与 秦琼 大相径庭 。,人物一 那种 事事 争强好胜 性格 人物二 大相径庭,-1,0
TRAIN_SENT_ID_256562,周武,周文,“ 极好 极好 ” 的 尧 、 舜 、 禹 、 汤 、 周文 、 周武 ；,极好 极好  尧  舜  禹  汤  人物二  人物一,-1,0
TRAIN_SENT_ID_252674,颜回,孔子,作品 赏析 : 这 一章 ， 孔子 对 颜回 学问 道德 接近 于 完善 却 在生活上 常常 贫困 深感 遗憾 。,作品 赏析  一章  人物二 人物一 学问 道德 接近 完善 在生活上 常常 贫困 深感 遗憾,1,0
TRAIN_SENT_ID_264530,岳云鹏,郭德纲,2 ： 《 返场 》 郭德纲 于谦 岳云鹏,返场  人物二 于谦 人物一,1,0
TRAIN_SENT_ID_259412,凌音,凌波,草谷 觉得 没有 什么 不妥 ， 凌音 不用 为 凌波 承担 什么 。,草谷 觉得 没有 不妥  人物一 不用 人物二 承担,-1,0
TRAIN_SENT_ID_259738,李偲菘,李伟菘,作曲 ： 李伟菘 \ 李偲菘,作曲  人物二  人物一,-1,0
TRAIN_SENT_ID_250693,鲁西西,皮皮鲁,在 笑声 的 指引 下 ， 皮皮鲁 和 鲁西西 来到 了 魔方 里 的 瓜国 。,笑声 指引  人物二 人物一 来到 魔方 里 瓜国,-1,0
TRAIN_SENT_ID_257565,毛泽民,毛泽东,毛远志 （ 1923 - 1990 ） ， 湖南 韶山 人 ， 是 毛泽民 和 王淑兰 的 女儿 ， 毛泽东 唯一 的 亲 侄女 。,毛远志       湖南 韶山  人物一 王淑兰 女儿  人物二 唯一 亲 侄女,-1,0
TRAIN_SENT_ID_250355,赵飞燕,赵合德,在 这样 的 理论指导 下 ， 他 长期 与 外戚 集团 王氏 对立 ， 也 曾 进言 阻止 赵飞燕 、 赵合德 姐妹 晋封 。,理论指导  长期 外戚 集团 王氏 对立  进言 阻止 人物一  人物二 姐妹 晋封,-1,0
TRAIN_SENT_ID_283893,李晏,李纶,李晏 ， 李纶 之弟 ， 封 赵郡 公 ， 官至 开府 仪同 三司 、 大将军 。,人物一  人物二 之弟  封 赵郡 公  官至 开府 仪同 三司  大将军,-1,0
TRAIN_SENT_ID_257499,姜昆,马季,马季 、 赵世忠 、 姜昆,人物二  赵世忠  人物一,1,0
TRAIN_SENT_ID_260737,薛丁山,薛金莲,《 薛丁山 与 樊梨花 》 饰 薛金莲,人物一 樊梨花  饰 人物二,-1,0
TRAIN_SENT_ID_249124,皮皮鲁,鲁西西,皮皮鲁 和 鲁西西 剧集 评价 : “ 这部 剧 最 吸引 我 的 是 从小 培养 善良 、 友爱 、 勇敢 、 诚实 等 优秀品质 的 正 能量 。 ”,人物一 人物二 剧集 评价   这部 剧 吸引 从小 培养 善良  友爱  勇敢  诚实 优秀品质 正 能量,-1,0
TRAIN_SENT_ID_252851,颜回,孔子,列子 · 仲尼 第四 部分 : 列子 · 仲尼 原文 : 子夏问 孔子 曰 ( 1 ) ： “ 颜回 之为 人 奚若 ( 2 ) ？ ”,列子  仲尼 第四 部分  列子  仲尼 原文  子夏问 人物二 曰      人物一 之为 奚若,1,0
TRAIN_SENT_ID_255480,罗成,秦琼,李元霸 、 秦琼 、 宇文化及 、 程咬金 、 单雄信 、 尉迟敬德 、 罗成 、 李靖 、 魏文通 、 梁士泰 ......,李元霸  人物二  宇文化及  程咬金  单雄信  尉迟敬德  人物一  李靖  魏文通  梁士泰,-1,0
TRAIN_SENT_ID_261564,南宫敬叔,孟懿子,即 南宫敬叔 ， 孟懿子 之弟 。,人物一  人物二 之弟,-1,0
TRAIN_SENT_ID_249315,陆无双,程英,表妹 ： 陆无双 程英,表妹  人物一 人物二,-1,0
TRAIN_SENT_ID_259949,周志文,周志康,周志文 周志康,人物一 人物二,-1,0
TRAIN_SENT_ID_254287,张顺,张横,张横 道 ： “ 小弟 是 张顺 。,人物二 道   小弟 人物一,-1,0
TRAIN_SENT_ID_250584,鲁西西,皮皮鲁,皮皮鲁 和 鲁西西 有 许多 好玩 的 经历 ， 都 收集 在 30 卷 《 郑渊洁 童话 全集 》 里 .,人物二 人物一 好玩 经历  收集  卷  郑渊洁 童话 全集  里,-1,0
TRAIN_SENT_ID_255455,罗成,秦琼,秦琼 就象 罗成 的 半师 ， 让 他 尊重 ， 也 让 他 亲近 。,人物二 就象 人物一 半师  尊重  亲近,-1,0
TRAIN_SENT_ID_252576,颜回,孔子,魏晋 南北朝 期间 ， 有时 又 以 孔子 为 先圣 ， 以 颜回 为 先师 奉祀 。,魏晋 南北朝 期间  人物二 先圣  人物一 先师 奉祀,1,0
TRAIN_SENT_ID_273681,姜子牙,元始天尊,元始天尊 决定 借 商周 大战 完成 封神 大计 ， 他 的 三个 门徒 — — 姜子牙 、 申公豹 、 玉鼎 真人 ， 各领 师命 下山 。,人物二 决定 商周 大战 完成 封神 大计  三个 门徒   人物一  申公豹  玉鼎 真人  各领 师命 下山,1,0
TRAIN_SENT_ID_253861,赵合德,赵飞燕,汉成帝 刘骜 ， 好酒 纵欲 ， 被 赵飞燕 和 赵合德 姐妹 挟持 捆绑 ； 更 可怕 的 是 ， 他 放任 外戚 不断 壮大 势力 ， 等于 将 皇权 推到 了 危险 的 悬崖 。,汉成帝 刘骜  好酒 纵欲  人物二 人物一 姐妹 挟持 捆绑  更 可怕  放任 外戚 不断 壮大 势力  等于 皇权 推到 危险 悬崖,-1,0
TRAIN_SENT_ID_251542,楚碧痕,楚寒镜,96 双胞胎 楚寒镜 楚碧痕,双胞胎 人物二 人物一,-1,0
TRAIN_SENT_ID_273368,杨锐,张之洞,三 、 戊戌变法 期间 张之洞 给 杨锐 下达 的 指令,三  戊戌变法 期间 人物二 人物一 下达 指令,1,0
TRAIN_SENT_ID_249116,皮皮鲁,鲁西西,皮皮鲁 、 鲁西西 、 罗克 、 舒克和贝塔 已 在 国家工商局 注册 ， 成为 受 法律 保护 的 注册商标 。,人物一  人物二  罗克  舒克和贝塔 国家工商局 注册  成为 受 法律 保护 注册商标,-1,0
TRAIN_SENT_ID_268467,单联全,冯一非,《 我 的 丑娘 》 是 由 单联全 编剧 执导 的 26 集 都市生活 电视剧 ， 该剧 由 张少华 、 江宏恩 、 侯天来 、 冯一非 等 主演 。,丑娘  人物一 编剧 执导  集 都市生活 电视剧  该剧 张少华  江宏恩  侯天来  人物二 主演,1,0
TRAIN_SENT_ID_252618,颜回,孔子,’ ” 意谓 颜回 听 孔子 讲学 ， 从不 提 不同 看法 ， 好象 很 愚笨 。,意谓 人物一 听 人物二 讲学  从不 提 不同 看法  好象 愚笨,1,0
TRAIN_SENT_ID_282521,欧阳零,欧阳坤,身高 ： 根据 欧阳零 的 身高 推算 欧阳坤 站 起来 可能 有 150cm,身高  人物一 身高 推算 人物二 站 起来 可能,-1,0
TRAIN_SENT_ID_262181,陈靖仇,陈辅,经过 一连串 争夺 后 ， 因为 宇文拓 挟持 了 陈辅 为 人质 ， 陈靖仇 只好 而 交出 了 自己 拥有 的 所有 神器 。,一连串 争夺  宇文拓 挟持 人物二 人质  人物一 只好 交出 拥有 神器,1,0
TRAIN_SENT_ID_249034,吕洞宾,韩湘子,老寿星 南极 仙翁 过寿 ， 八大 仙人 （ 即 道家 汉 钟离 、 张果老 、 韩湘子 、 铁拐李 、 曹国舅 、 吕洞宾 、 兰采 和 、 何仙姑 ） 齐来 祝寿 。,老寿星 南极 仙翁 过寿  八大 仙人  道家 汉 钟离  张果老  人物二  铁拐李  曹国舅  人物一  兰采  何仙姑  齐来 祝寿,1,0
TRAIN_SENT_ID_270990,严舆,严白虎,严白虎 、 严舆 、 朱治 、 孙瑜 、 钟离牧,人物二  人物一  朱治  孙瑜  钟离牧,-1,0
TRAIN_SENT_ID_269432,刘伟,马季,《 富 了 以后 》 表演者 ： 马季 、 刘伟,富 以后  表演者  人物二  人物一,1,0
TRAIN_SENT_ID_259802,李偲菘,李伟菘,5.42009 《 潮流 盛典 》 与 林俊杰 羽泉 袁泉 李偲菘 李伟菘 王啸坤 一同 受邀 出席 并 压轴 出场 演唱 主题曲,潮流 盛典  林俊杰 羽泉 袁泉 人物一 人物二 王啸坤 一同 受邀 出席 压轴 出场 演唱 主题曲,-1,0
TRAIN_SENT_ID_252582,颜回,孔子,颜回 攫 甑 释意 : 孔子 在 陈国和 蔡国 之间 的 地方 （ 缺粮 ） 受困 ， 饭菜 全无 ， 七天 没 吃 上 米饭 了 。,人物一 攫 甑 释意  人物二 陈国和 蔡国 之间 地方  缺粮  受困  饭菜 全无  七天 没 吃 米饭,1,0
TRAIN_SENT_ID_260935,杨露禅,陈长兴,河南 温县 太极拳 传承 人 联合会 是 由 陈家沟 村 人 陈长兴 教授 杨露禅 ， 经杨氏 祖孙三代 教学 于 北京 逐渐 流传 到 全国 的 联合会 。,河南 温县 太极拳 传承 联合会 陈家沟 村 人物二 教授 人物一  经杨氏 祖孙三代 教学 北京 逐渐 流传 全国 联合会,1,0
