,rule_id,rule,frequence,label
616,616,杀/人物一/人物二,27,0
619,619,人物一/人物二/为妻,26,0
626,626,人物一/杀/人物二,26,0
743,743,丈夫/人物一/人物二,25,0
744,744,中/人物/人物二/人物一,25,0
745,745,主要/人物一/人物二,25,0
746,746,亚洲/人物二/人物一,25,0
747,747,人物一/人物二/共同,25,0
752,752,人物一/人物二/王,25,0
753,753,人物一/人物二/继位,25,0
763,763,人物二/人物一/娶,25,0
781,781,当年/人物一/人物二,25,0
785,785,上海/人物二/人物一,24,0
786,786,人物一/人物/人物二/人物一,24,0
787,787,人物一/人物二/一同,24,0
788,788,人物一/人物二/作,24,0
789,789,人物一/人物二/儿子/人物一,24,0
790,790,人物一/人物二/写,24,0
791,791,人物一/人物二/弟弟,24,0
792,792,人物一/人物二/最终,24,0
793,793,人物一/发现/人物二,24,0
794,794,人物一/家族/人物二,24,0
795,795,人物一/父/人物二,24,0
796,796,人物一/老公/人物二,24,0
797,797,人物一/认识/人物二,24,0
798,798,人物二/一起/人物一,24,0
799,799,人物二/人物一/兄弟,24,0
801,801,人物二/人物一/告诉,24,0
802,802,人物二/人物一/回到,24,0
803,803,人物二/人物一/当时,24,0
804,804,人物二/人物一/派,24,0
805,805,人物二/人物一/狄波拉,24,0
806,806,人物二/人物一/美国,24,0
807,807,人物二/人物一/遂,24,0
808,808,人物二/孩子/人物一,24,0
809,809,人物二/新/人物一,24,0
810,810,人物二/经历/人物一,24,0
811,811,人物二/著名/人物一/母亲,24,0
812,812,传/人物一/人物二,24,0
813,813,女/人物二/人物一,24,0
814,814,年/人物一/妻子/人物二,24,0
815,815,年/人物二/之子/人物一,24,0
816,816,年/人物二/人物一/两人,24,0
817,817,月/人物一/人物二/人物一,24,0
818,818,期间/人物一/人物二,24,0
819,819,版/人物二/人物一,24,0
820,820,电视剧/人物二/人物一,24,0
821,821,相关/人物二/人物一,24,0
822,822,称/人物一/人物二,24,0
823,823,称/人物二/人物一,24,0
824,824,讲述/人物二/人物一,24,0
825,825,饰/人物一/人物二/饰,24,0
826,826,个人/月/人物一/人物二,23,0
827,827,个人/生活/月/人物一/人物二,23,0
828,828,亚洲/人物二/父亲/人物一,23,0
829,829,亚洲/天王/人物二/人物一,23,0
830,830,人物一/人物/生平/人物一/人物二,23,0
831,831,人物一/人物一/人物二/儿子,23,0
832,832,人物一/人物一/人物二/女儿,23,0
833,833,人物一/人物一/人物二/结婚,23,0
834,834,人物一/人物二/一位,23,0
835,835,人物一/人物二/主演,23,0
836,836,人物一/人物二/即位,23,0
837,837,人物一/人物二/后来,23,0
838,838,人物一/人物二/唯一,23,0
839,839,人物一/人物二/多年,23,0
840,840,人物一/人物二/找,23,0
841,841,人物一/人物二/走,23,0
842,842,人物一/人物二/赴,23,0
843,843,人物一/公子/人物二,23,0
844,844,人物一/内容简介/人物二,23,0
845,845,人物一/家庭成员/父亲/人物二,23,0
846,846,人物一/最后/人物二,23,0
847,847,人物一/角色/人物二,23,0
848,848,人物二/之子/人物一/人物二,23,0
849,849,人物二/人物一/作,23,0
850,850,人物二/人物一/回,23,0
851,851,人物二/人物一/图书,23,0
852,852,人物二/人物一/导演,23,0
853,853,人物二/人物一/杀死,23,0
854,854,人物二/人物一/照片,23,0
855,855,人物二/介绍/人物一,23,0
856,856,人物二/传/人物一,23,0
857,857,人物二/儿子/人物一/人物二,23,0
858,858,人物二/关系/人物一,23,0
859,859,人物二/其父/人物一,23,0
860,860,人物二/兼/人物一,23,0
861,861,人物二/毛岸英/人物一,23,0
862,862,人物二/生于/香港/人物一,23,0
863,863,人物二/知道/人物一,23,0
864,864,人物二/终于/人物一,23,0
865,865,人物二/著名/歌手/人物一,23,0
866,866,人物二/著名/演员/人物一,23,0
867,867,人物二/著名/父亲/人物一,23,0
868,868,人物二/逝世/人物一,23,0
869,869,人物二/饰演/人物一,23,0
870,870,前/年/人物二/人物一,23,0
871,871,剧情/人物一/人物二,23,0
872,872,国家/主席/人物二/人物一,23,0
873,873,年/人物一/人物二/婚礼,23,0
874,874,年/人物二/人物一/月,23,0
875,875,拍摄/人物二/人物一,23,0
876,876,水浒/人物二/人物一,23,0
877,877,生活/月/人物一/人物二,23,0
878,878,电视剧/人物一/人物二,23,0
