sent_id,entity1,entity2,sent,processed_sent,label
TRAIN_SENT_ID_282275,张孝若,张謇,历任 校长 有 张謇 、 张詧 、 张孝若 、 郑亦同 、 徐静仁 、 唐启宇 等 ；,历任 校长 人物二  张詧  人物一  郑亦同  徐静仁  唐启宇,-1
TRAIN_SENT_ID_277378,樊姬,楚庄王,⑷ 樊姬 ： 春秋 五霸 之一 楚庄王 的 宠妃 。,⑷ 人物一  春秋 五霸 人物二 宠妃,1
TRAIN_SENT_ID_257982,夏东海,刘梅,于是 ， 夏东海 和 刘梅 拉 着 是 刘星 、 夏雨 ， 买 了 好多 东西 去 看 那个 被 撞伤 的 老奶奶 ， 老奶奶 的 儿媳妇 接待 了 他们 。,人物一 人物二 拉 刘星  夏雨  买 好多 东西 撞伤 老奶奶  老奶奶 儿媳妇 接待,1
TRAIN_SENT_ID_264335,贾环,赵姨娘,赵姨娘 再 不 着 调 也 是 探春 的 亲娘 ， 贾环 是 亲 弟弟 ， 不看僧面看佛面 ， 打狗 还 得 看 主人 呢 ， 这番 打闹 ， 岂 不是 让 探春 没脸 吗 ？,人物二 调 探春 亲娘  人物一 亲 弟弟  不看僧面看佛面  打狗 主人  这番 打闹  岂 探春 没脸,-1
TRAIN_SENT_ID_287323,汪泓,汪关,汪关 遗印 和 汪泓 篆刻,人物二 遗印 人物一 篆刻,-1
TRAIN_SENT_ID_274633,傅敏,傅雷,傅敏 与 《 傅雷 家书 》,人物一  人物二 家书,-1
TRAIN_SENT_ID_253709,申雪,赵宏博,林丹 （ 世界 羽毛球 冠军 ） 、 李永波 （ 国羽 金牌 教练 ） 、 申雪 、 赵宏博 （ 世界 花样 溜冰 冠军 ） 、 刘吉 （ 国家 部长 ） 、,林丹  世界 羽毛球 冠军   李永波  国羽 金牌 教练   人物一  人物二  世界 花样 溜冰 冠军   刘吉  国家 部长,1
TRAIN_SENT_ID_284808,林英雄,白木喜,姐姐 ： 白金 喜 、 白木喜 、 白水喜 姐夫 ： 刘明辉 、 林英雄 、 程舒航,姐姐  白金 喜  人物二  白水喜 姐夫  刘明辉  人物一  程舒航,1
TRAIN_SENT_ID_255709,蒋介石,宋美龄,蒋纬国 的 身世 之谜 与 蒋介石 、 宋美龄 的 感情 危机,蒋纬国 身世 之谜 人物一  人物二 感情 危机,1
TRAIN_SENT_ID_263155,胡亥,秦始皇,原文 : 《 史记 · 秦始皇 本纪 》 ： “ （ 胡亥 ） 诛 （ 李 ） 斯 、 （ 冯 ） 去 疾 ， 任用 赵高 。,原文   史记  人物二 本纪     人物一  诛  李  斯   冯  疾  任用 赵高,-1
TRAIN_SENT_ID_269316,陆雪琪,张小凡,正魔 二次大战 后 碧瑶 失踪 ， 张小凡 在 陆雪琪 的 温柔 照顾 和 小白 的 开导 下 最终 战胜 了 心 魔 ， 回归 青云 ， 并 通过 诛 仙剑 阵 击败 魔教 。,正魔 二次大战 碧瑶 失踪  人物二 人物一 温柔 照顾 小白 开导 最终 战胜 心 魔  回归 青云  诛 仙剑 阵 击败 魔教,1
TRAIN_SENT_ID_278375,荀庚,荀林父,智 庄子 之子 ， 荀林父 之 侄 ， 荀庚 堂弟 。,智 庄子 之子  人物二 侄  人物一 堂弟,-1
TRAIN_SENT_ID_252109,黄毅清,黄奕,黄奕 更 贴 出 她 满脸 殴伤 照片 、 验伤单 、 就医 纪录 、 报案 单及 老公 黄毅清 的 悔过书 。,人物二 更 贴 出 满脸 殴伤 照片  验伤单  就医 纪录  报案 单及 老公 人物一 悔过书,1
TRAIN_SENT_ID_268260,王小利,李琳,赵本山 、 王小利 、 李琳,赵本山  人物一  人物二,1
TRAIN_SENT_ID_278435,苗若兰,苗人凤,苗人凤 家 苗若兰 闺房 水盆 有金 种子 。,人物二 家 人物一 闺房 水盆 有金 种子,-1
TRAIN_SENT_ID_265086,金仙公主,窦德妃,金仙公主 （ 母 窦德妃 ， 先封 为 西城 县主 ）,人物一  母 人物二  先封 西城 县主,-1
TRAIN_SENT_ID_256318,孙尚香,刘备,吴国太 得知 后 大喜 ， 命 孙权 立即 为 刘备 和 孙尚香 举办 婚事 。,吴国太 得知 大喜  命 孙权 立即 人物二 人物一 举办 婚事,1
TRAIN_SENT_ID_273975,白素,卫斯理,白素 地 心 洪炉 （ 1965 ） : 南极 专家 张坚 是 卫斯理 的 朋友 。,人物一 心 洪炉     南极 专家 张坚 人物二 朋友,1
TRAIN_SENT_ID_268548,潘金莲,武大郎,在 这里 您 会 遇到 潘金莲 、 武大郎 、 西门庆 、 王婆 、 武松 … …,会 遇到 人物一  人物二  西门庆  王婆  武松,1
TRAIN_SENT_ID_262920,熊美玲,林秋离,No.132 这 是 我 的 爱 （ 台语 ） 林秋离 熊美玲 施文彬,爱  台语  人物二 人物一 施文彬,1
TRAIN_SENT_ID_273795,萧远山,萧峰,被 萧峰 之 父 萧远山 偷袭 ， 一 掌震得 五脏 剧裂 而亡 。,人物二 父 人物一 偷袭  掌震得 五脏 剧裂 而亡,-1
TRAIN_SENT_ID_282648,杜江,杜宇麒,杜江 与 杜宇麒,人物一 人物二,-1
TRAIN_SENT_ID_269037,刘德华,朱丽倩,有人 目睹 刘德华 在 该 大厦 门外 等候 朱丽倩 下课 。,有人 目睹 人物一 大厦 门外 等候 人物二 下课,1
TRAIN_SENT_ID_264135,刘备,孙尚香,效果 ： a ： 孙尚香 加入 刘备 麾下,效果    人物二 加入 人物一 麾下,1
TRAIN_SENT_ID_274721,龙啸云,林诗音,他 与 林诗音 订下 婚约 ， 却 将 最 爱 之 人 拱手 让给 义兄 龙啸云 。,人物二 订下 婚约  爱 拱手 让给 义兄 人物一,1
TRAIN_SENT_ID_264616,纪晓芙,杨不悔,梁少霞 电视剧 配音 : 梁少霞 1994 : （ 倚天 屠龙记 ） 纪晓芙 、 杨不悔 梁少霞 1995 : （ 同一 屋檐下 / 同一 屋檐下 II ） 柏木 小梅,梁少霞 电视剧 配音  梁少霞    倚天 屠龙记  人物一  人物二 梁少霞    同一 屋檐下  同一 屋檐下   柏木 小梅,-1
