sent_id,entity1,entity2,sent,processed_sent,label
TRAIN_SENT_ID_272014,文姜,宣姜,— — 春秋 之 宣姜 、 文姜,春秋 人物二  人物一,-1
TRAIN_SENT_ID_251903,曹薰铉,李昌镐,李昌镐 执黑 7 目半胜 曹薰铉,人物二 执黑  目半胜 人物一,1
TRAIN_SENT_ID_268922,司徒静,司徒剑南,司徒剑南 第十一 集 : 文蔷 救 下 司徒静 。,人物二 第十一 集  文蔷 救 人物一,-1
TRAIN_SENT_ID_264522,岳云鹏,郭德纲,那时 郭德纲 没 名气 ， 岳云鹏 也 不 认识 他 ， 连 《 报菜名 》 都 不 知道 ， 就 跟 他 在 小剧场 干 杂活 ， “ 师父 管吃 、 喝 ， 师娘 一 星期 给 一百元 ” 。,人物二 没 名气  人物一 认识   报菜名  知道  小剧场 干 杂活   师父 管吃  喝  师娘 星期 一百元,1
TRAIN_SENT_ID_261691,程英,陆无双,纯净 的 小龙女 、 刁蛮 无理 的 郭 芙 、 爽朗 活泼 的 郭襄 、 理智 优雅 的 程英 、 泼辣 的 陆无双 、 痴情 的 公孙绿萼 都 深恋 着 杨过 。,纯净 小龙女  刁蛮 无理 郭 芙  爽朗 活泼 郭襄  理智 优雅 人物一  泼辣 人物二  痴情 公孙绿萼 深恋 杨过,-1
TRAIN_SENT_ID_253848,赵合德,赵飞燕,这里 的 赵后 ， 就是 赵飞燕 ， 昭仪 就是 赵合德 。,赵后  人物二  昭仪 人物一,-1
TRAIN_SENT_ID_249315,陆无双,程英,表妹 ： 陆无双 程英,表妹  人物一 人物二,-1
TRAIN_SENT_ID_257819,林平之,岳不群,希望 越大 失望 越大 ， 伤心 比 伤身 更 伤重 ， 难怪 比起 余沧海 木高峰 ， 林平之 更加 鄙夷 的 人 是 自己 曾经 最 敬爱 的 师父 岳不群 。,希望 越大 失望 越大  伤心 伤身 更 伤重  难怪 比起 余沧海 木高峰  人物一 更加 鄙夷 曾经 敬爱 师父 人物二,1
TRAIN_SENT_ID_270801,伍天锡,伍云召,6 伍天锡 伍云召 族弟,人物一 人物二 族弟,-1
TRAIN_SENT_ID_259752,李偲菘,李伟菘,作词 : 卡斯 作曲 : 李偲菘 李伟菘 编曲 : 戴维雄,作词  卡斯 作曲  人物一 人物二 编曲  戴维雄,-1
