sent_id,entity1,entity2,sent,processed_sent,label,hard_match
TRAIN_SENT_ID_278920,汪涵,杨乐乐,重庆 啤酒节 主持人 （ 同场 主持 有 ： 汪涵 、 杨乐乐 、 陈述 、 李湘 ）,重庆 啤酒节 主持人  同场 主持  人物一  人物二  陈述  李湘,1,0
TRAIN_SENT_ID_262659,况天佑,马小玲,之所以 搞 出 陆战 平 这么 个 莫名其妙 的 僵尸 ， 目的 就是 对付 况天佑 与 马小玲 。,搞 出 陆战 平 莫名其妙 僵尸  目的 对付 人物一 人物二,1,0
TRAIN_SENT_ID_286474,华华凤,段玉,华华凤 把 一支 桨 递给 段玉 。,人物一 一支 桨 递给 人物二,1,0
TRAIN_SENT_ID_272788,谢烨,顾城,顾城 致 谢烨 … … … … … … … … … … … … … … … … …,人物二 人物一,1,0
TRAIN_SENT_ID_262758,熊美玲,林秋离,No.127 情债 （ 台语 ） 林秋离 熊美玲 蔡幸娟,情债  台语  人物二 人物一 蔡幸娟,1,0
TRAIN_SENT_ID_268230,王小利,李琳,表演者 ： 赵本山 、 小 沈阳 、 王小利 、 李琳,表演者  赵本山  沈阳  人物一  人物二,1,0
TRAIN_SENT_ID_268633,潘金莲,武大郎,— — 在 武大郎 的 细心 照料 下 ， 潘金莲 的 病情 慢慢 好转 。,人物二 细心 照料  人物一 病情 慢慢 好转,1,0
TRAIN_SENT_ID_286682,杨雨婷,房子斌,演员 ： 王志刚 、 房子斌 、 李峰 、 杨雨婷 、 李峰,演员  王志刚  人物二  李峰  人物一  李峰,1,0
TRAIN_SENT_ID_278217,江玉郎,江别鹤,江玉郎 趁着 江别鹤 去 拿 酒菜 给 小鱼儿 的 时候 ， 进来 对 小鱼儿 下毒 。,人物一 人物二 酒菜 小鱼儿  进来 小鱼儿 下毒,-1,0
TRAIN_SENT_ID_285261,莫雪鸢,周亚夫,莫雪鸢 武功 高强 ， 曾 和 周亚夫 并肩作战 ， 大破 敌军 ， 也 曾 为了 保护 窦漪 房 ， 不 敌 众人 被捕 。,人物一 武功 高强  人物二 并肩作战  大破 敌军  保护 窦漪 房  敌 众人 被捕,1,0
TRAIN_SENT_ID_255938,蒋介石,宋美龄,师永刚 ， 世纪 华人 画传 丛书 》 的 策划 与 发起者 、 曾 策划 编著 的 《 宋美龄 画传 》 、 《 蒋介石 图传 》 、 《 邓丽君 画传 》 、 《 切 ？,师永刚  世纪 华人 画传 丛书  策划 发起者  策划 编著  人物二 画传    人物一 图传    邓丽君 画传    切,1,0
TRAIN_SENT_ID_252194,秦嘉,徐淑,徐淑 诗作 介绍 : 秦嘉 作 《 赠妇 诗 》 道别 ：,人物二 诗作 介绍  人物一 作  赠妇 诗  道别,1,0
TRAIN_SENT_ID_258621,刘禅,刘备,南蛮 军 、 刘备 军 、 孙权 军 、 曹操 军 、 刘禅 军 、 孙皓 军 、 曹丕 军 、 司马昭 军 、 名 将军 。,南蛮 军  人物二 军  孙权 军  曹操 军  人物一 军  孙皓 军  曹丕 军  司马昭 军  名 将军,-1,0
TRAIN_SENT_ID_249422,后稷,姜嫄,历史 记载 : 《 水经注 》 卷 十八 载 ： 邰 （ 武功 ） “ 城 东北 有 姜嫄 祠 ， 城 西南 百步 有 后稷 祠 ， 眉 之 邰亭 地 ” 。,历史 记载   水经注  卷 十八 载  邰  武功   城 东北 人物二 祠  城 西南 百步 人物一 祠  眉 邰亭,-1,0
TRAIN_SENT_ID_283432,张月亮,张铁林,（ 第一名 ） 金 大川 刘畅 （ 奖励 ： 两张 直通 卡 ， 一张 送给 张铁林 和 张月亮 ）,第一名  金 大川 刘畅  奖励  两张 直通 卡  一张 送给 人物二 人物一,-1,0
TRAIN_SENT_ID_281683,蒋韵,李锐,李锐 蒋韵 用 方块字 深刻 表达 臼己,人物二 人物一 方块字 深刻 表达 臼己,1,0
