sent_id,entity1,entity2,sent,processed_sent,label,hard_match
TRAIN_SENT_ID_284598,高迅,高文,高文 正式 把 潜龙 交给 高迅 ）,人物二 正式 潜龙 交给 人物一,-1,0
TRAIN_SENT_ID_278795,任盈盈,任我行,任家 阵容 是 任盈盈 、 令狐冲 、 任我行 和 东方不败 。,任家 阵容 人物一  令狐冲  人物二 东方不败,-1,0
TRAIN_SENT_ID_281448,曾雅兰,侯昌明,08.18 傅天颖 家务事 大家 帮帮忙 （ 傅天颖 、 曾雅兰 、 侯昌明 、 沛小岚 、 陈萍 、 余皓然 ）,傅天颖 家务事 帮帮忙  傅天颖  人物一  人物二  沛小岚  陈萍  余皓然,1,0
TRAIN_SENT_ID_254182,邢夫人,贾赦,贾赦 垂涎 贾母 丫环 鸳鸯 ， 让 邢夫人 找 贾母 。,人物二 垂涎 贾母 丫环 鸳鸯  人物一 找 贾母,1,0
TRAIN_SENT_ID_281545,李锐,蒋韵,父母 ： 李锐 / 蒋韵,父母  人物一  人物二,1,0
TRAIN_SENT_ID_273924,江冬秀,胡适,遵从 母命 的 婚姻 — — 胡适 与 江冬秀,遵从 母命 婚姻   人物二 人物一,1,0
TRAIN_SENT_ID_273419,杨乐乐,汪涵,主持 ： 李湘 、 汪涵 、 杨乐乐 、 李响 、 夏颖,主持  李湘  人物二  人物一  李响  夏颖,1,0
TRAIN_SENT_ID_271047,彭丽媛,习近平,陪同 习近平 夫妇 在 韩 访问期间 彭丽媛 的 单独 行程 部分 。,陪同 人物二 夫妇 韩 访问期间 人物一 单独 行程 部分,1,0
TRAIN_SENT_ID_277538,柴绍,平阳公主,他 派 柴绍 带 了 几百 骑兵 去 迎接 平阳公主 。,派 人物一 带 几百 骑兵 迎接 人物二,1,0
TRAIN_SENT_ID_262663,况天佑,马小玲,马小玲 和 况天佑 能 再 一次 创造 奇迹 吗 ?,人物二 人物一 一次 创造 奇迹,1,0
TRAIN_SENT_ID_277670,曾叔常,曾书书,诛 仙风 回峰 : 曾书书 ： 青云 门风 回峰 首座 曾叔常 独子 ， 性子 活泼 机灵 ， 喜欢 收集 奇珍异宝 。,诛 仙风 回峰  人物二  青云 门风 回峰 首座 人物一 独子  性子 活泼 机灵  喜欢 收集 奇珍异宝,-1,-1
TRAIN_SENT_ID_265243,贾琏,贾赦,薛蟠 已 拜见 过 贾政 ， 贾琏 又 引着 拜见 了 贾赦 ， 贾珍 等 。,薛蟠 拜见 贾政  人物一 引着 拜见 人物二  贾珍,-1,0
TRAIN_SENT_ID_268654,潘金莲,武大郎,— — 潘金莲 与 西门庆 通奸 ， 被 武大郎 捉奸在床 。,人物一 西门庆 通奸  人物二 捉奸在床,1,0
TRAIN_SENT_ID_254203,邢夫人,贾赦,贾赦 垂涎 贾母 丫环 鸳鸯 ， 让 其妻 邢夫人 找 贾母 。,人物二 垂涎 贾母 丫环 鸳鸯  其妻 人物一 找 贾母,1,1
TRAIN_SENT_ID_281701,李惠文,朱李月华,朱李月华 以及 其父 李惠文 现 分持 公司 46.58% 及 9.5% 股权 。,人物二 其父 人物一 现 分持 公司   股权,-1,-1
TRAIN_SENT_ID_277805,晋陵公主,谢混,女主 ， 因 飞机 失事 穿越 后 成为 东 晋孝武帝 之女 司马君 羽 ， 人称 晋陵公主 ， 爱慕 谢混 。,女主  飞机 失事 穿越 成为 东 晋孝武帝 之女 司马君 羽  人称 人物一  爱慕 人物二,1,0
TRAIN_SENT_ID_268066,樊梨花,薛丁山,寒江关 女将 樊梨花 得悉 与 与 征西 二路 元帅 薛丁山 有 宿世 姻缘 ， 经过 三擒三纵 ， 山终 答应 娶 花为 妾 。,寒江关 女将 人物一 得悉 征西 二路 元帅 人物二 宿世 姻缘  三擒三纵  山终 答应 娶 花为 妾,1,0
