sent_id,entity1,entity2,sent,processed_sent,human
TRAIN_SENT_ID_271047,彭丽媛,习近平,陪同 习近平 夫妇 在 韩 访问期间 彭丽媛 的 单独 行程 部分 。,陪同 人物二 夫妇 韩 访问期间 人物一 单独 行程 部分,-1
TRAIN_SENT_ID_275936,黄日华,黄芷晴,黄日华 之 千金 黄芷晴 继承 父母 才貌 ， 获得 「 校花 」 美誉 ； 在 大学毕业 後 ， 加入 城市 电讯 ， 并 参与 艺员 进修班 ， 提升 演技 及 表演 技巧 。,人物一 千金 人物二 继承 父母 才貌  获得  校花  美誉  大学毕业 後  加入 城市 电讯  参与 艺员 进修班  提升 演技 表演 技巧,-1
TRAIN_SENT_ID_279252,长孙无极,孟扶摇,孟扶摇 忍不住 笑一笑 ， 长孙无极 凑身 过去 ， 吻吻 她 额角 ， 道 ： “ 你 这 小 傻瓜 ， 劝 你 是 没用 的 ， 咱们 … …,人物二 忍不住 笑一笑  人物一 凑身 过去  吻吻 额角  道   傻瓜  劝 没用,-1
TRAIN_SENT_ID_284176,水均益,杨迪,杨迪 水均益 新闻报道 背景,人物二 人物一 新闻报道 背景,-1
TRAIN_SENT_ID_272436,包惜弱,杨铁心,杨铁心 挺 枪刺 倒 门边 一名 兵丁 ， 俯身 伸臂 ， 把 包惜弱 抱上 马背 ， 高声 叫 道 ： “ 大哥 ， 跟着 我来 ！ ”,人物二 挺 枪刺 倒 门边 一名 兵丁  俯身 伸臂  人物一 抱上 马背  高声 道   大哥  跟着 我来,-1
TRAIN_SENT_ID_260240,穆桂英,杨宗保,梅兰芳 — — 穆桂英 姜妙香 — — 杨宗保 孙盛武 — — 穆瓜 王泉奎 — — 孟良 景荣庆 — — 焦赞 李世霖 — — 杨延昭,梅兰芳   人物一 姜妙香   人物二 孙盛武   穆瓜 王泉奎   孟良 景荣庆   焦赞 李世霖   杨延昭,-1
TRAIN_SENT_ID_260330,穆桂英,杨宗保,穆桂英 为 救 自己 所爱 的 人 ， 投降 大宋 ， 并 献上 降龙木 ， 大破 天门 阵 ， 立功 救 下 杨宗保 。,人物一 救 所爱  投降 大宋  献上 降龙木  大破 天门 阵  立功 救 人物二,-1
TRAIN_SENT_ID_271332,何泽慧,钱三强,《 铀 核四 分裂 的 实验 证明 》 ， 钱三强 、 何泽慧,铀 核四 分裂 实验 证明   人物二  人物一,-1
TRAIN_SENT_ID_275071,朱七七,沈浪,后 朱七七 随 沈浪 、 王怜花 、 熊猫儿 四人同 赴 海外 仙山 隐居 。,人物一 人物二  王怜花  熊猫儿 四人同 赴 海外 仙山 隐居,-1
TRAIN_SENT_ID_278714,叶一茜,田亮,精灵 奇缘 乐曲 内容 : 田亮 叶一茜 田雨 橙 《 精灵 奇缘 》 歌词 ( 电影 《 捉妖 记 》 宣传 曲 ),精灵 奇缘 乐曲 内容  人物二 人物一 田雨 橙  精灵 奇缘  歌词  电影  捉妖 记  宣传 曲,-1
TRAIN_SENT_ID_274975,荆天明,荆轲,荆轲 与 荆天明 从未见过 一面 。,人物二 人物一 从未见过 一面,-1
TRAIN_SENT_ID_283083,李曼青,李坏,仇人 : 小 李飞 刀 传人 李曼青 （ 李坏 之 父 ）,仇人  李飞 刀 传人 人物一  人物二 父,-1
TRAIN_SENT_ID_284416,宋哀公,宋戴公,宋惠公 与 宋哀公 、 宋戴公 三公 王陵 三峰 并峙 ， 故 名 “ 三陵 台 ” 。,宋惠公 人物一  人物二 三公 王陵 三峰 并峙  名  三陵 台,-1
TRAIN_SENT_ID_277318,宁风致,宁荣荣,宁风致 （ 宁荣荣 之 父 ） 宁天 （ 绝世 唐门 ）,人物一  人物二 父  宁天  绝世 唐门,-1
TRAIN_SENT_ID_273227,秦香莲,陈世美,四 、 明明 是 陈世美 ， 我 不是 秦香莲,四  明明 人物二  人物一,-1
TRAIN_SENT_ID_252216,秦嘉,徐淑,徐淑 《 答 秦嘉 诗 》,人物二  答 人物一 诗,-1
TRAIN_SENT_ID_274594,薛丁山,薛仁贵,如 《 梁山伯 与 祝英台 》 、 《 曹 按 杀子 救 亲娘 》 、 《 薛仁贵 征东 》 、 《 薛丁山 征西 》 、 《 乾隆 皇下 江南 》 等 。,梁山伯 祝英台    曹 杀子 救 亲娘    人物二 征东    人物一 征西    乾隆 皇下 江南,-1
TRAIN_SENT_ID_265624,袁泉,夏雨,濮存昕 、 陈建斌 、 张国立 、 孙海英 、 陈明昊 、 冯宪珍 、 冯远征 、 雷恪生 、 梁冠华 、 石维坚 、 吴越 、 夏雨 、 谢君豪 、 徐帆 、 徐峥 、 袁泉 … …,濮存昕  陈建斌  张国立  孙海英  陈明昊  冯宪珍  冯远征  雷恪生  梁冠华  石维坚  吴越  人物二  谢君豪  徐帆  徐峥  人物一,-1
TRAIN_SENT_ID_283591,侯佩岑,黄伯俊,黄伯俊 望 了 侯佩岑 一眼 ， 见 未婚妻 摇头 后 ， 继续 维持 一脸 酷样 直到 上车 。,人物二 人物一 一眼  见 未婚妻 摇头  继续 维持 一脸 酷样 上车,-1
TRAIN_SENT_ID_283393,白马纵横,燕飞虹,燕飞虹 其他 记录 : 思念 白马纵横 之诗 ：,人物二 记录  思念 人物一 之诗,-1
TRAIN_SENT_ID_274536,薛丁山,薛仁贵,按 ： 西河 大鼓 艺人 ， 把 《 薛仁贵 征西 》 称作 “ 大西 唐 ” ， 把 《 薛丁山 征西 》 称作 “ 少西唐 ” ， 把 《 秦英 征西 》 称作 “ 小西 唐 ” 。,西河 大鼓 艺人   人物二 征西  称作  大西 唐    人物一 征西  称作  少西唐    秦英 征西  称作  小西 唐,-1
TRAIN_SENT_ID_285571,韩瑜,孙协志,江宏恩 、 翁家明 、 澎 恰恰 、 马国毕 、 陈志强 、 孙协志 、 韩瑜,江宏恩  翁家明  澎 恰恰  马国毕  陈志强  人物二  人物一,-1
