sent_id,entity1,entity2,sent,processed_sent,label,hard_match
TRAIN_SENT_ID_250014,张无忌,赵敏,殷姑娘 （ 周芷若 、 赵敏 、 小昭 、 张无忌 称 ）,殷姑娘  周芷若  人物二  小昭  人物一 称,1,0
TRAIN_SENT_ID_265140,尤二姐,贾琏,贾琏 出于 独专 ， 才 将 尤二姐 娶 进 ， 也 不是 可以 托付 终身 的 人 。,人物二 独专  人物一 娶 进  托付 终身,1,0
TRAIN_SENT_ID_273506,殷素素,张翠山,第七回 女孩 必读 ： 看 殷素素 如何 顺利 拿下 张翠山,第七回 女孩 必读  人物一 顺利 拿下 人物二,1,1
TRAIN_SENT_ID_260441,严嵩,严世蕃,严世蕃 、 罗龙文 被 处死 ， 籍没 严嵩 家产 。,人物二  罗龙文 处死  籍没 人物一 家产,-1,0
TRAIN_SENT_ID_271143,彭丽媛,习近平,彭丽媛 一身 黑 双排 扣 风衣 配合 习近平 的 造型 ， 深色 的 整身 造型 用 丝巾 点亮 ， 简约 而 典雅 。,人物一 一身 黑 双排 扣 风衣 配合 人物二 造型  深色 整身 造型 丝巾 点亮  简约 典雅,1,0
TRAIN_SENT_ID_270532,关平,关羽,西殿 祀 关羽 ， 附祀 关平 、 周苍 。,西殿 祀 人物二  附祀 人物一  周苍,-1,0
TRAIN_SENT_ID_251239,廖仲恺,何香凝,后世 纪念 : 墓葬 : 廖仲恺 与 妻 何香凝 墓 ， 位于 南京 紫金山 南麓 天堡 城下 。,后世 纪念  墓葬  人物一 妻 人物二 墓  位于 南京 紫金山 南麓 天堡 城下,1,0
TRAIN_SENT_ID_277091,浦安修,彭德怀,彭德怀 看到 浦安修 被 蹂躏 得 失去 形体 ， 心如刀绞 ， 发疯 似的 呼喊 ： “ 你们 打 我 吧 ！,人物二 看到 人物一 蹂躏 失去 形体  心如刀绞  发疯 呼喊,1,0
TRAIN_SENT_ID_274747,龙啸云,林诗音,李寻欢 之 表妹 ， 亦 是 他 青梅竹马 的 恋人 ， 但 李 为了 结拜 大哥 龙啸云 ， 将 林诗音 “ 送 ” 给 了 龙 ， 悲剧 由此 引发 … …,李寻欢 表妹  青梅竹马 恋人  李 结拜 大哥 人物一  人物二  送  龙  悲剧 引发,1,0
TRAIN_SENT_ID_262045,李纨,贾兰,李纨 的 “ 晚 韶华 ” 与 贾兰 的 “ 虚名 儿,人物一  晚 韶华  人物二  虚名,-1,0
TRAIN_SENT_ID_283591,侯佩岑,黄伯俊,黄伯俊 望 了 侯佩岑 一眼 ， 见 未婚妻 摇头 后 ， 继续 维持 一脸 酷样 直到 上车 。,人物二 人物一 一眼  见 未婚妻 摇头  继续 维持 一脸 酷样 上车,1,0
TRAIN_SENT_ID_263815,刘嘉玲,梁朝伟,梁朝伟 、 刘德华 、 刘嘉玲,人物二  刘德华  人物一,1,0
TRAIN_SENT_ID_254194,邢夫人,贾赦,于是 惊动 了 众人 ， 连 贾赦 、 邢夫人 、 贾珍 、 贾政 并琏 、 蓉 、 芸 、 萍 、 薛姨妈 、 薛蟠,惊动 众人  人物二  人物一  贾珍  贾政 并琏  蓉  芸  萍  薛姨妈  薛蟠,1,0
TRAIN_SENT_ID_279459,郭啸天,李萍,祖父母 ： 郭啸天 、 李萍,祖父母  人物一  人物二,1,0
TRAIN_SENT_ID_268651,潘金莲,武大郎,但 潘金莲 毫不犹豫 地 选择 了 带有 很大 风险 的 后 一种 选择 ， 终于 ， 她 在 王婆 、 西门庆 的 教唆 下 ， 残忍 毒死 了 武大郎 。,人物一 毫不犹豫 选择 带有 很大 风险 一种 选择  终于  王婆  西门庆 教唆  残忍 毒死 人物二,1,-1
TRAIN_SENT_ID_284320,薛葵,薛刚,薛刚 为报 国仇家恨 ， 凉 借兵 ， 薛葵 、 薛蛟 二 小将 出世 。,人物二 为报 国仇家恨  凉 借兵  人物一  薛蛟 二 小将 出世,-1,1
TRAIN_SENT_ID_262404,汪精卫,陈璧君,在 吴世荣 家里 ， 陈璧君 见到 了 汪精卫 。,吴世荣 家里  人物二 见到 人物一,1,0
