sent_id,entity1,entity2,sent,processed_sent,human
TRAIN_SENT_ID_252686,颜回,孔子,哀声 ， 拼音 ā ish ē ng ， 解释 悲哀 的 声音 ， 出处 《 孔子 家语 · 颜回 》 。,哀声  拼音 ā  ē   解释 悲哀 声音  出处  人物二 家语  人物一,1
TRAIN_SENT_ID_259642,公孙胜,罗真人,10 、 明 施耐庵 《 水浒 》 第五十三回 《 戴宗 二取 公孙胜 李逵 独劈 罗真人 》 小 可先来 蓟州寻 了 一遍 ， 并 无 打听 处 ， 只 纠合 得 一伙 弟兄 上山 。,明 施耐庵  水浒  第五十三回  戴宗 二取 人物一 李逵 独劈 人物二  可先来 蓟州寻 一遍  打听 处  纠合 一伙 弟兄 上山,1
TRAIN_SENT_ID_259649,公孙胜,罗真人,4 、 明 施耐庵 《 水浒 》 第五十三回 《 戴宗 二取 公孙胜 李逵 独劈 罗真人 》 李逵 拽 开 脚步 ， 浑如 驾云 的 一般 ， 飞也似 去 了 。,明 施耐庵  水浒  第五十三回  戴宗 二取 人物一 李逵 独劈 人物二  李逵 拽 开 脚步  浑如 驾云  飞也似,1
TRAIN_SENT_ID_252469,颜回,孔子,出自 《 孔子 家语 · 颜回 》 。,出自  人物二 家语  人物一,1
TRAIN_SENT_ID_259643,公孙胜,罗真人,3 、 明 施耐庵 《 水浒 》 第五十三回 《 戴宗 二取 公孙胜 李逵 独劈 罗真人 》 小可 愿往 ， 只是 得 一个 做伴 的 方好 。,明 施耐庵  水浒  第五十三回  戴宗 二取 人物一 李逵 独劈 人物二  小可 愿往  一个 做伴 方好,1
TRAIN_SENT_ID_274112,欧阳娣娣,欧阳娜娜,欧阳娜娜 （ 二女儿 ） 、 欧阳娣娣 （ 三 女儿 ）,人物二  二女儿   人物一  三 女儿,1
TRAIN_SENT_ID_262261,尤二姐,尤三姐,与 尤二姐 原是 个 花为 肠肚 雪作 肌肤 的 弱女子 不同 ， 显然 ， 尤三姐 反宾为主 ， 竟是 将 两个 花花公子 式 的 人物 给 震 了 。,人物一 原是 花为 肠肚 雪作 肌肤 弱女子 不同  显然  人物二 反宾为主  竟是 两个 花花公子 式 人物 震,1
TRAIN_SENT_ID_267526,扈成,扈三娘,他 与 扈三娘 加入 梁山 官军 团 ， 随 卢俊义 投降 朝廷 ， 后 被 授为 统领 官 ， 与 妻兄 扈成 一同 留守 梁山 ， 。,人物二 加入 梁山 官军 团  卢俊义 投降 朝廷  授为 统领 官  妻兄 人物一 一同 留守 梁山,1
TRAIN_SENT_ID_265729,李三思,李三省,特请 景天 名 之 ， 景天 以 “ 三思而后行 ” 名 长子 李三思 ， 以 “ 吾 日 三 省吾身 ” 名次 子 李三省 ， 以 “ 三 ” 字以 纪念 早夭 之弟 。,特请 景天 名  景天  三思而后行  名 长子 人物一   吾 日 三 省吾身  名次 子 人物二   三  字以 纪念 早夭 之弟,1
TRAIN_SENT_ID_252788,颜回,孔子,《 孔子 家语 · 颜回 》 ： “ 哀声 有 似 於 此 ， 谓 其往 而 不返 也 。 ”,人物二 家语  人物一    哀声 似 於  谓 其往 不返,1
TRAIN_SENT_ID_277737,王银钏,王宝钏,《 薛平贵 与 王宝钏 》 饰演 ； 王银钏,薛平贵 人物二  饰演  人物一,1
TRAIN_SENT_ID_252993,颜回,孔子,曾点 在 今 山东 曲阜 孔庙 与 孔子 之父 叔 梁纥 ， 颜回 之父 颜无繇 ， 孟 子之父 孟孙激 一同 供奉 专祠 祭祀 。,曾点 山东 曲阜 孔庙 人物二 之父 叔 梁纥  人物一 之父 颜无繇  孟 子之父 孟孙激 一同 供奉 专祠 祭祀,1
TRAIN_SENT_ID_252647,颜回,孔子,《 孔子 家语 . 颜回 》,人物二 家语  人物一,1
TRAIN_SENT_ID_258808,张无忌,殷离,为 救 母亲 黛绮丝 以及 谢逊 ， 张无忌 ， 赵敏 ， 周芷若 ， 殷离 等 人 ， 决定 牺牲 自己 ， 回到 波斯 总坛 ， 做 了 圣女 。,救 母亲 黛绮丝 谢逊  人物一  赵敏  周芷若  人物二  决定 牺牲  回到 波斯 总坛  做 圣女,1
TRAIN_SENT_ID_275973,马光陆,高占全,马光陆 徒弟 高占全 : 人物 简介,人物一 徒弟 人物二  人物 简介,1
TRAIN_SENT_ID_270803,伍天锡,伍云召,第十九回 太行山 伍天锡 鏖兵 关王庙 伍云召 寄子 第二十回 韩擒虎 收兵 复旨 程咬金 逢 赦 回家,第十九回 太行山 人物一 鏖兵 关王庙 人物二 寄子 第二十回 韩擒虎 收兵 复旨 程咬金 逢 赦 回家,1
