1,526,1509,1402
2,199,212,2212
3,75,267,2040
4,76,215,1962
5,38,94,2094
6,116,270,1823
7,0,46,2097
8,0,0,2106
1,526,1509,1402
2,241,169,2213
3,241,100,2070
4,324,43,1858
5,56,44,2056
6,9,0,2104
7,183,0,1926
8,10,0,2035
9,5,0,2040
10,218,1,1825
1,526,1509,1402
2,199,212,2212
3,75,267,2040
4,76,215,1962
5,38,94,2094
6,116,270,1823
7,0,46,2097
8,0,0,2106
1,526,1509,1402
2,193,159,2271
3,75,69,2238
4,112,194,1947
5,125,22,2079
6,185,102,1922
7,31,0,2112
8,0,0,2106
1,0,0,1402
2,59,797,1224
3,0,386,1482
4,0,91,2284
5,0,4,3783
6,0,166,6764
7,0,305,11797
8,0,2177,15351
9,0,0,27954
1,0,0,1402
1,0,0,1402
