rule_id,rule,pattern,frequence,original_label
528,人物一/人物二/以后,.*人物一.*人物二.*以后.*,6,0
531,人物一/人物二/即位,.*人物一.*人物二.*即位.*,6,-1
538,人物一/人物二/成,.*人物一.*人物二.*成.*,6,0
541,人物一/人物二/王夫人,.*人物一.*人物二.*王夫人.*,6,-1
554,人物一/嫁给/人物二,.*人物一.*嫁给.*人物二.*,6,1
558,人物一/死/人物二,.*人物一.*死.*人物二.*,6,-1
578,人物二/人物一/一起,.*人物二.*人物一.*一起.*,6,0
632,人物二/老公/人物一,.*人物二.*老公.*人物一.*,6,1
648,太子/人物一/人物二,.*太子.*人物一.*人物二.*,6,-1
670,指/人物一/人物二,.*指.*人物一.*人物二.*,6,0
700,人物二/本名/副董事长/侨务/委员长/人物一,.*人物二.*本名.*副董事长.*侨务.*委员长.*人物一.*,5,-1
701,人物二/本名/副董事长/兼/中华民国/人物一,.*人物二.*本名.*副董事长.*兼.*中华民国.*人物一.*,5,-1
702,人物二/本名/副董事长/兼/人物一,.*人物二.*本名.*副董事长.*兼.*人物一.*,5,-1
703,人物二/本名/副董事长/兼/人物一/之女,.*人物二.*本名.*副董事长.*兼.*人物一.*之女.*,5,-1
704,人物二/本名/副董事长/兼/侨务/人物一,.*人物二.*本名.*副董事长.*兼.*侨务.*人物一.*,5,-1
705,人物二/本名/副董事长/兼/委员会/人物一,.*人物二.*本名.*副董事长.*兼.*委员会.*人物一.*,5,-1
706,人物二/本名/副董事长/兼/委员长/人物一,.*人物二.*本名.*副董事长.*兼.*委员长.*人物一.*,5,-1
707,人物二/本名/副董事长/兼/秘书长/人物一,.*人物二.*本名.*副董事长.*兼.*秘书长.*人物一.*,5,-1
708,人物二/本名/副董事长/兼/行政院/人物一,.*人物二.*本名.*副董事长.*兼.*行政院.*人物一.*,5,-1
709,人物二/本名/副董事长/委员会/人物一,.*人物二.*本名.*副董事长.*委员会.*人物一.*,5,-1
710,人物二/本名/副董事长/委员会/人物一/之女,.*人物二.*本名.*副董事长.*委员会.*人物一.*之女.*,5,-1
711,人物二/本名/副董事长/委员会/委员长/人物一,.*人物二.*本名.*副董事长.*委员会.*委员长.*人物一.*,5,-1
712,人物二/本名/副董事长/委员长/人物一,.*人物二.*本名.*副董事长.*委员长.*人物一.*,5,-1
713,人物二/本名/副董事长/委员长/人物一/之女,.*人物二.*本名.*副董事长.*委员长.*人物一.*之女.*,5,-1
714,人物二/本名/副董事长/秘书长/中华民国/人物一,.*人物二.*本名.*副董事长.*秘书长.*中华民国.*人物一.*,5,-1
715,人物二/本名/副董事长/秘书长/人物一,.*人物二.*本名.*副董事长.*秘书长.*人物一.*,5,-1
716,人物二/本名/副董事长/秘书长/人物一/之女,.*人物二.*本名.*副董事长.*秘书长.*人物一.*之女.*,5,-1
717,人物二/本名/副董事长/秘书长/侨务/人物一,.*人物二.*本名.*副董事长.*秘书长.*侨务.*人物一.*,5,-1
718,人物二/本名/副董事长/秘书长/委员会/人物一,.*人物二.*本名.*副董事长.*秘书长.*委员会.*人物一.*,5,-1
719,人物二/本名/副董事长/秘书长/委员长/人物一,.*人物二.*本名.*副董事长.*秘书长.*委员长.*人物一.*,5,-1
