sent_id,entity1,entity2,sent,processed_sent,human
TRAIN_SENT_ID_259373,葛玄,左慈,三国 以后 ， 一些 著名 道士 相继 入 闽 修炼 ， 如 左慈 、 葛玄 、 介琰 等 ， 隐居 在 闽东 。,三国 以后  著名 道士 相继 入 闽 修炼  人物二  人物一  介琰  隐居 闽东,-1
TRAIN_SENT_ID_257486,姜昆,马季,主持人 有 马季 、 姜昆 、 张喻 、 朱苑宜 （ 台湾 ） 、 斑斑 （ 香港 ） 。,主持人 人物二  人物一  张喻  朱苑宜  台湾   斑斑  香港,-1
TRAIN_SENT_ID_285957,谢天顺,郭荣起,郭荣起 - - 常宝霆 、 郭宝 明 、 杜 三宝 、 杨少华 、 谢天顺 、 张宝 如,人物二   常宝霆  郭宝 明  杜 三宝  杨少华  人物一  张宝,-1
TRAIN_SENT_ID_255320,卫夫人,王羲之,绛 帖 选帖 范围 是 以 《 淳化阁 帖 》 为 基础 ， 所收佳 帖 有 李斯 、 诸葛亮 、 王羲之 、 王献之 、 卫夫人 、 张旭 、 怀素 、 李白 、 颜真卿 等 人 的 名作 。,绛 帖 选帖 范围  淳化阁 帖  基础  所收佳 帖 李斯  诸葛亮  人物二  王献之  人物一  张旭  怀素  李白  颜真卿 名作,-1
TRAIN_SENT_ID_273668,姜子牙,元始天尊,真武 封神 封神 场景 : 元始天尊 命 姜子牙 在 岐山 修建 ， 上 张挂 封神榜 。,真武 封神 封神 场景  人物二 命 人物一 岐山 修建  张挂 封神榜,-1
TRAIN_SENT_ID_253854,赵合德,赵飞燕,赵飞燕 、 赵合德 ， 那张 被 欲望 撑破 的 脸,人物二  人物一  那张 欲望 撑破 脸,-1
TRAIN_SENT_ID_249300,陆无双,程英,"小龙女 的 经历 是否 会 有 不同 , 程英 、 陆无双 是否 还会 孤独 一生 ?",小龙女 经历 是否 会 不同  人物二  人物一 是否 还会 孤独 一生,-1
TRAIN_SENT_ID_270566,全真七子,王重阳,陈抟 、 王重阳 、 全真七子 、 张三丰 ， 都 是 武功 出神入化 之 人 。,陈抟  人物二  人物一  张三丰  武功 出神入化,-1
TRAIN_SENT_ID_286374,于小飞,韩兰成,放驴 小子 于小飞 师从 韩兰成 ， 并 与 师父 一同 演绎 了 此 节目 ， 受到 广大 电视观众 的 好评 。,放驴 小子 人物一 师从 人物二  师父 一同 演绎 节目  广大 电视观众 好评,-1
TRAIN_SENT_ID_266060,张学思,张学良,一般而言 ， 以字定 辈分 者 ， 都 将 这些 辈分 字 置于 姓 之后 ， 如 张学良 、 张学思 、 张学铭 。,一般而言  以字定 辈分  辈分 字 置于 姓 之后  人物二  人物一  张学铭,-1
TRAIN_SENT_ID_277959,杨少华,郭荣起,郭荣起 ― ― 常宝霆 、 郭宝 明 、 杜 三宝 、 杨少华 、 谢天顺 、 张宝 如,人物二 ― ― 常宝霆  郭宝 明  杜 三宝  人物一  谢天顺  张宝,-1
TRAIN_SENT_ID_271212,张翠山,张三丰,得 承 张三丰 武术 及 为 人 处世之道 ， 思想 端正 不 歪 ； 加上 资质聪颖 廿来 岁 已练 得 一身 高强 武功 ， 江湖人称 银勾铁划 张翠山 张五侠 。,承 人物二 武术 处世之道  思想 端正 歪  加上 资质聪颖 廿来 岁 已练 一身 高强 武功  江湖人称 银勾铁划 人物一 张五侠,-1
TRAIN_SENT_ID_275843,陆无双,李莫愁,第四代 ： 洪凌波 、 陆无双 （ 两人 师从 李莫愁 ） 、 杨过 （ 师从 小龙女 ）,第四代  洪凌波  人物一  两人 师从 人物二   杨过  师从 小龙女,-1
TRAIN_SENT_ID_266193,李昌镐,曹薰铉,虽然 日本队 主帅 加藤 正夫 力克 曹薰铉 ， 但 还是 没能 闯过 最后 李昌镐 一关 。,日本队 主帅 加藤 正夫 力克 人物二  没能 闯过 最后 人物一 一关,-1
TRAIN_SENT_ID_252466,颜回,孔子,颜回 在 孔子 面前 ， 连屁 都 不敢 放 一个 ， 子路 可 没 那么 多 心眼 ， 经常 鼻子 不是 鼻子 脸 不是 脸 ， 让 老师 下不来台 。,人物一 人物二 面前  连屁 不敢 放 一个  子路 没 心眼  经常 鼻子 鼻子 脸 脸  老师 下不来台,-1
TRAIN_SENT_ID_257784,林平之,岳不群,与 岳不群 : 何宝生 版 林平之 ( 42 张 ),人物二  何宝生 版 人物一   张,-1
TRAIN_SENT_ID_266206,范遥,赵敏,汝阳王 爱女 赵敏 ， 自小 随 范遥 习武 ， 二人 情同 师徒 ， 直到 遇 教主 张无忌 才 恢复 身份 。,汝阳王 爱女 人物二  自小 人物一 习武  二人 情同 师徒  遇 教主 张无忌 恢复 身份,-1
TRAIN_SENT_ID_271574,赵敏,王保保,（ 王保保 还有 可能 是 “ 赵敏 ” 和 “ 张无忌 ” 的 孩子 ）,人物二 可能  人物一   张无忌  孩子,-1
TRAIN_SENT_ID_251909,曹薰铉,李昌镐,韩国 著名 高手 : 韩国 四老 天王 ： 李昌镐 、 曹薰铉 、 徐奉洙 、 刘昌赫,韩国 著名 高手  韩国 四老 天王  人物二  人物一  徐奉洙  刘昌赫,-1
TRAIN_SENT_ID_281538,于佑福,高德明,高德明 — — 于佑福 、 冯大荃 、 张松青,人物二   人物一  冯大荃  张松青,-1
TRAIN_SENT_ID_264598,凌波,凌音,凌音 找 凌波 ， 告诉 她 自己 是 第一次 代表 师门 出席 武林 盛事 ， 有些 紧张 。,人物二 找 人物一  告诉 第一次 代表 师门 出席 武林 盛事  紧张,-1
TRAIN_SENT_ID_268823,洪凌波,李莫愁,第四代 ： 洪凌波 、 陆无双 （ 两人 师从 李莫愁 ） 、 杨过 （ 师从 小龙女 ）,第四代  人物一  陆无双  两人 师从 人物二   杨过  师从 小龙女,-1
TRAIN_SENT_ID_277419,尹夏沫,尹澄,画展 之初 ， 前来 参观 的 人 并不多 ， 除了 尹夏沫 、 欧辰 和 珍恩 每天 都 在 ， 大多数 来 的 是 尹澄 生前 的 老师 、 好友 和 同学 。,画展 之初  前来 参观 并不多  人物一  欧辰 珍恩 每天  大多数 人物二 生前 老师  好友 同学,-1
TRAIN_SENT_ID_260594,金敬姬,金正日,金正恩 的 爷爷 金日成 有过 两任 妻子 ， 第一任 妻子 金正淑 ， 生有 两子 一女 ： 金正日 、 金 万一 、 金敬姬 。,金正恩 爷爷 金日成 有过 两任 妻子  第一任 妻子 金正淑  生有 两子 一女  人物二  金  人物一,-1
TRAIN_SENT_ID_271543,应天文,韩慕侠,加上 韩慕侠 自称 在 九华山 寻 到 董海川 的 师弟 应天文 ， 学 的 “ 反 八卦 （ 掌 ） ” 技巧 ， 引起 张占魁 的 不满 。,加上 人物二 自称 九华山 寻 董海川 师弟 人物一  学  反 八卦  掌   技巧  引起 张占魁 不满,-1
TRAIN_SENT_ID_255290,卫夫人,王羲之,③ 卫氏 夫人 ： 卫夫人 是 运城 夏县 人 ， 曾任 王羲之 的 老师 。,③ 卫氏 夫人  人物一 运城 夏县  曾任 人物二 老师,-1
TRAIN_SENT_ID_257450,姜昆,马季,与 著名 相声 演员 马季 ， 姜昆 ， 夏雨田 等 是 老友 。,著名 相声 演员 人物二  人物一  夏雨田 老友,-1
TRAIN_SENT_ID_260583,金敬姬,金正日,金日成 的 第一任 妻子 为 金正淑 ， 生有 两子 一女 ， 两子 分别 是 金正日 、 金 万一 和 女儿 金敬姬 。,金日成 第一任 妻子 金正淑  生有 两子 一女  两子 人物二  金 女儿 人物一,-1
TRAIN_SENT_ID_282232,王辰,王岩,王岩 王辰 大哥 ， 实力 极高 ， 十分 爱护 弟弟 。,人物二 人物一 大哥  实力 极高  十分 爱护 弟弟,-1
TRAIN_SENT_ID_261684,程英,陆无双,表姐 （ 陆无双 专用 ） 柴蔚版 程英 ( 6 张 ),表姐  人物二 专用  柴蔚版 人物一   张,-1
TRAIN_SENT_ID_248976,吕洞宾,韩湘子,一日 ， 游经 城北 玉屏 峰 ， 见 韩湘子 、 吕洞宾 、 张果老 等 八仙 从 东边 天际 乘 祥云 飘然而至 ， 坐在 石莲 峰山 上 吹拉弹唱 。,一日  游经 城北 玉屏 峰  见 人物二  人物一  张果老 八仙 东边 天际 祥云 飘然而至  坐在 石莲 峰山 吹拉弹唱,-1
