,rule_id,rule,frequence,label
344,344,人物二/之孙/人物一,39,0
373,373,人物一/人物二/之间,36,0
392,392,人物一/父母/人物二,35,0
395,395,人物二/人物一/长子,35,0
429,429,之后/人物一/人物二,33,0
430,430,人物一/人物二/一直,33,0
432,432,人物一/子/人物二,33,0
434,434,人物二/之妻/人物一,33,0
435,435,人物二/人物一/一直,33,0
443,443,人物一/人物二/两个,32,0
444,444,人物一/人物二/为妻,32,0
445,445,人物一/介绍/人物二,32,0
446,446,人物一/其父/人物二,32,0
447,447,人物一/携/人物二,32,0
448,448,人物二/个人/年/人物一,32,0
449,449,人物二/人物一/公主,32,0
451,451,人物二/人物一/次子,32,0
452,452,人物二/人物一/走,32,0
459,459,嫁给/人物二/人物一,32,0
466,466,知道/人物一/人物二,32,0
467,467,主演/人物二/人物一,31,0
468,468,人物一/人物二/担任,31,0
469,469,人物一/人物二/正式,31,0
470,470,人物一/人物二/非常,31,0
471,471,人物一/生平/人物一/人物二,31,0
472,472,人物二/一起/人物一,31,0
473,473,人物二/人物一/年/人物二,31,0
474,474,人物二/人物一/找,31,0
475,475,人物二/人物一/非常,31,0
476,476,人物二/公主/人物一,31,0
477,477,人物二/前妻/人物一,31,0
478,478,人物二/后主/人物一,31,0
479,479,人物二/年/名宿/人物一,31,0
480,480,人物二/年/名宿/人物一/之子,31,0
481,481,人物二/年/已故/人物一/之子,31,0
482,482,人物二/年/已故/名宿/人物一,31,0
483,483,人物二/年/已故/名宿/人物一/之子,31,0
484,484,人物二/年/已故/足球/人物一,31,0
485,485,人物二/年/已故/足球/人物一/之子,31,0
486,486,人物二/年/已故/足球/名宿/人物一,31,0
487,487,人物二/年/足球/人物一,31,0
488,488,人物二/年/足球/人物一/之子,31,0
489,489,人物二/年/足球/名宿/人物一,31,0
490,490,人物二/年/足球/名宿/人物一/之子,31,0
491,491,人物二/派/人物一,31,0
492,492,人物二/诸葛亮/人物一,31,0
493,493,女/人物二/人物一,31,0
494,494,演员/人物二/人物一,31,0
495,495,电影/人物二/人物一,31,0
496,496,著名/人物一/人物二,31,0
497,497,角色/人物二/人物一,31,0
498,498,之子/人物一/人物二,30,0
499,499,人物一/人物二/一生,30,0
500,500,人物一/人物二/希望,30,0
501,501,人物一/人物二/杀,30,0
502,502,人物一/人物二/著名,30,0
503,503,人物一/出生/人物二,30,0
504,504,人物一/家庭/人物二,30,0
505,505,人物一/想/人物二,30,0
506,506,人物一/饰演/人物二,30,0
507,507,人物二/个人/生活/年/人物一,30,0
508,508,人物二/人物一/后来,30,0
509,509,人物二/人物一/女,30,0
510,510,人物二/人物一/娶,30,0
511,511,人物二/人物一/成,30,0
512,512,人物二/人物一/皇后,30,0
513,513,人物二/人物一/皇帝,30,0
514,514,人物二/人物一/继位,30,0
515,515,人物二/夫妇/人物一,30,0
516,516,人物二/年/人物一/人物二,30,0
517,517,人物二/校长/人物一,30,0
518,518,公元/年/人物二/人物一,30,0
519,519,公元前/人物二/人物一,30,0
520,520,合作/人物一/人物二,30,0
521,521,夫人/人物一/人物二,30,0
522,522,娶/人物二/人物一,30,0
523,523,年/人物二/儿子/人物一,30,0
524,524,年/人物二/妻子/人物一,30,0
525,525,日/人物一/人物二/结婚,30,0
526,526,月/人物二/人物一/举行/婚礼,30,0
527,527,月/日/人物一/人物二/结婚,30,0
528,528,里/人物二/人物一,30,0
529,529,人物二/绰号/谭/已故/足球/人物一,29,0
530,530,人物二/绰号/谭/校长/人物一,29,0
531,531,人物二/绰号/谭/校长/人物一/之子,29,0
532,532,人物二/绰号/谭/校长/名宿/人物一,29,0
533,533,人物二/绰号/谭/校长/已故/人物一,29,0
534,534,人物二/绰号/谭/校长/足球/人物一,29,0
535,535,人物二/绰号/谭/足球/人物一,29,0
536,536,人物二/绰号/谭/足球/人物一/之子,29,0
537,537,人物二/绰号/谭/足球/名宿/人物一,29,0
538,538,人物二/绰号/足球/人物一,29,0
539,539,人物二/绰号/足球/人物一/之子,29,0
540,540,人物二/绰号/足球/名宿/人物一,29,0
541,541,人物二/绰号/足球/名宿/人物一/之子,29,0
542,542,人物二/老婆/人物一,29,0
543,543,人物二/谭/人物一,29,0
544,544,人物二/谭/人物一/之子,29,0
545,545,人物二/谭/名宿/人物一,29,0
546,546,人物二/谭/名宿/人物一/之子,29,0
547,547,人物二/谭/已故/人物一,29,0
548,548,人物二/谭/已故/人物一/之子,29,0
549,549,人物二/谭/已故/名宿/人物一,29,0
550,550,人物二/谭/已故/名宿/人物一/之子,29,0
551,551,人物二/谭/已故/足球/人物一,29,0
552,552,人物二/谭/已故/足球/人物一/之子,29,0
553,553,人物二/谭/已故/足球/名宿/人物一,29,0
554,554,人物二/谭/校长/人物一,29,0
555,555,人物二/谭/校长/人物一/之子,29,0
556,556,人物二/谭/校长/名宿/人物一,29,0
557,557,人物二/谭/校长/名宿/人物一/之子,29,0
558,558,人物二/谭/校长/已故/人物一,29,0
559,559,人物二/谭/校长/已故/人物一/之子,29,0
560,560,人物二/谭/校长/已故/名宿/人物一,29,0
561,561,人物二/谭/校长/已故/足球/人物一,29,0
562,562,人物二/谭/校长/足球/人物一,29,0
563,563,人物二/谭/校长/足球/人物一/之子,29,0
564,564,人物二/谭/校长/足球/名宿/人物一,29,0
565,565,人物二/谭/足球/人物一,29,0
566,566,人物二/谭/足球/人物一/之子,29,0
567,567,人物二/谭/足球/名宿/人物一,29,0
568,568,人物二/谭/足球/名宿/人物一/之子,29,0
569,569,年/人物二/去世/人物一,29,0
570,570,年/日/人物二/人物一/举行,29,0
571,571,年/月/人物二/人物一/举行/婚礼,29,0
572,572,年/月/日/人物二/人物一/举行,29,0
573,573,月/人物二/人物一/结婚,29,0
