sent_id,entity1,entity2,sent,processed_sent,label
TRAIN_SENT_ID_282543,苗正,黄震,黄震 号召 弟妹们 帮 他 一起 ， 黄家 姊 弟们 决定 通过 斗武来 选出 五人 去 帮助 他 ， 苗正 轻松 地 脱颖而出 。,人物二 号召 弟妹们 帮 一起  黄家 姊 弟们 决定 斗武来 选出 五人 帮助  人物一 轻松 脱颖而出,1
TRAIN_SENT_ID_256488,周武,周文,鲁国 的 开国 君主 是 周公旦 的 长 子伯禽 ， 周公旦 是 周武 王之弟 ， 那么 孟氏 应该 是 周文 王 的 姬姓 子孙 。,鲁国 开国 君主 周公旦 长 子伯禽  周公旦 人物一 王之弟  孟氏 应该 人物二 王 姬姓 子孙,1
TRAIN_SENT_ID_268838,骆羽,骆赢,混双 ： 何汉斌 / 包宜鑫 刘成 / 骆赢 李根 / 骆羽,混双  何汉斌  包宜鑫 刘成  人物二 李根  人物一,1
TRAIN_SENT_ID_255458,罗成,秦琼,秦琼 的 好 ， 罗成 最 明白 。,人物二  人物一 明白,1
TRAIN_SENT_ID_251600,穆春,穆弘,身为 囚徒 的 宋江 路过 这里 ， 不 懂 这 里面 的 猫腻 ， 送 了 五两 银子 ， 却 惹 了 大祸 ， 被 穆弘 穆春 逼 得 差点 送 了 性命 。,身为 囚徒 宋江 路过  懂 里面 猫腻  送 五两 银子  惹 大祸  人物二 人物一 逼 差点 送 性命,1
TRAIN_SENT_ID_269434,刘伟,马季,《 风格 赞 》 表演者 ： 马季 、 赵炎 、 刘伟 、 姜昆 、 冯巩 等,风格 赞  表演者  人物二  赵炎  人物一  姜昆  冯巩,-1
TRAIN_SENT_ID_265108,杨志刚,郭靖宇,合作 演员 ： 杨志刚 、 杨紫 ， 导演 ： 郭靖宇,合作 演员  人物一  杨紫  导演  人物二,1
TRAIN_SENT_ID_277582,上官兰心,上官梅儿,上官梅儿 （ 女一号 ） ： 上官兰心 的 结拜 姐妹 ， 聪明伶俐 乖巧 ， 外表美丽 ， 蕙质兰心 ， 琴艺 高超 。,人物二  女一号   人物一 结拜 姐妹  聪明伶俐 乖巧  外表美丽  蕙质兰心  琴艺 高超,1
TRAIN_SENT_ID_274182,田虎,田猛,在 烈山 堂堂 主 田猛 葬礼 上 随着 堂主 田虎 前来 吊唁 。,烈山 堂堂 主 人物二 葬礼 堂主 人物一 前来 吊唁,1
TRAIN_SENT_ID_252574,颜回,孔子,《 索引 》 ： “ 苍蝇附骥 尾而致 千里 ， 以 譬 颜回 因 孔子 而 名彰 也 。 ”,索引    苍蝇附骥 尾而致 千里  譬 人物一 人物二 名彰,-1
TRAIN_SENT_ID_251836,梅超风,黄药师,"桃花 岛上 的 鸡毛蒜皮 , 让 梅超风 不再 那么 脑残 , 但是 不 保证 他们 真的 会 在 一起 , 因为 黄药师 才 是 主角 , 唯一 的 … …",桃花 岛上 鸡毛蒜皮  人物一 不再 脑残  保证 真的 会 一起  人物二 主角  唯一,-1
TRAIN_SENT_ID_259407,凌音,凌波,师侄 中有 凌波 、 凌音 、 希恒 。,师侄 中有 人物二  人物一  希恒,1
TRAIN_SENT_ID_249039,吕洞宾,韩湘子,汉 钟离 持 蕉叶 ， 铁拐李 拄 拐持 葫芦 ， 曹国舅 持 响板 ， 何仙姑 持 如意 ， 韩湘子 持箫 ， 张国老 骑驴 持 渔鼓 ， 蓝采和 肩 扛 花篮 ， 吕洞宾 持剑 。,汉 钟离 持 蕉叶  铁拐李 拄 拐持 葫芦  曹国舅 持 响板  何仙姑 持 如意  人物二 持箫  张国老 骑驴 持 渔鼓  蓝采和 肩 扛 花篮  人物一 持剑,-1
TRAIN_SENT_ID_257045,洪敬尧,洪荣宏,紧返 来 阮 身边 11 新 放浪 人生 : 洪荣宏 、 洪敬尧,紧返 阮 身边  新 放浪 人生  人物二  人物一,1
TRAIN_SENT_ID_261612,宋小宝,赵本山,赵本山 、 宋小宝 、 赵海燕 、 孙丽荣,人物二  人物一  赵海燕  孙丽荣,-1
TRAIN_SENT_ID_266167,李昌镐,曹薰铉,半决赛 ： 李昌镐 2 : 1 曹薰铉 林海峰 2 : 0 赵治勋,半决赛  人物一    人物二 林海峰    赵治勋,-1
TRAIN_SENT_ID_252838,颜回,孔子,殿内 供 孔子 及 孟轲 、 颜回 等 42 哲人 牌位 。,殿内 供 人物二 孟轲  人物一  哲人 牌位,-1
TRAIN_SENT_ID_265495,薛蝌,薛蟠,程甲本 八十回 后 ， 薛蟠 打死 人命 被 下 在 牢里 ， 她 又 耐不住 寂寞 ， 勾引 薛蝌 。,程甲本 八十回  人物二 打死 人命 牢里  耐不住 寂寞  勾引 人物一,1
TRAIN_SENT_ID_256830,孙周,孙淳,《 相思树 》 是 由 深圳市 康 达富 文化 传播 有限公司 出品 的 一部 都市 情感 剧 ， 孙周 执导 ， 吴秀波 、 浦蒲 、 孙淳 、 陈 数等 主演 。,相思树  深圳市 康 达富 文化 传播 有限公司 出品 一部 都市 情感 剧  人物一 执导  吴秀波  浦蒲  人物二  陈 数等 主演,1
TRAIN_SENT_ID_258163,刘星,夏雪,《 我 有 我 美丽 》 ， 因 不满 穿 校服 ， 刘星 与 夏雪 决定 成立 “ 美丽 二人组 ” 来 展示 他们 的 奇装异服 ， 他们 慷慨激扬 的 行为 愈演愈烈 。,美丽   不满 穿 校服  人物一 人物二 决定 成立  美丽 二人组  展示 奇装异服  慷慨激扬 行为 愈演愈烈,1
TRAIN_SENT_ID_251867,曹薰铉,李昌镐,横纲 李昌镐 ( 韩国 ) 曹薰铉 ( 韩国 ),横纲 人物二  韩国  人物一  韩国,-1
TRAIN_SENT_ID_266179,李昌镐,曹薰铉,曹薰铉 胜 山下敬吾 、 李昌镐 胜 罗洗河 、 刘昌赫 胜 周鹤洋 、 李世石 胜睦镇 硕 ， 这是 世界大赛 史上 第一次 四强 被 一国 棋手 包揽 。,人物二 胜 山下敬吾  人物一 胜 罗洗河  刘昌赫 胜 周鹤洋  李世石 胜睦镇 硕  这是 世界大赛 史上 第一次 四强 一国 棋手 包揽,-1
TRAIN_SENT_ID_248967,吕洞宾,韩湘子,即汉 钟离 、 张果老 、 韩湘子 、 铁拐李 、 曹国舅 、 吕洞宾 、 蓝采和 及 何仙姑 。,即汉 钟离  张果老  人物二  铁拐李  曹国舅  人物一  蓝采和 何仙姑,-1
TRAIN_SENT_ID_264826,陈永奎,陈永燊,周陈淑玲 — — 陈瑞 球 之 女儿 、 陈永奎 及 陈永燊 之妹,周陈淑玲   陈瑞 球 女儿  人物一 人物二 之妹,1
TRAIN_SENT_ID_253826,赵合德,赵飞燕,美轮美奂 两 芙蓉 — — 赵飞燕 赵合德,美轮美奂 两 芙蓉   人物二 人物一,1
TRAIN_SENT_ID_250634,鲁西西,皮皮鲁,丛书 名 : 皮皮鲁 总动员 / 鲁西西 系列,丛书 名  人物二 总动员  人物一 系列,1
TRAIN_SENT_ID_259633,公孙胜,罗真人,第二十一回 黑旋风 斧劈 罗真人 公孙胜 斗法 破 高廉,第二十一回 黑旋风 斧劈 人物二 人物一 斗法 破 高廉,-1
TRAIN_SENT_ID_262210,尤二姐,尤三姐,自重 · 尊重 · 珍重 — — 尤二姐 、 尤三姐 94,自重  尊重  珍重   人物一  人物二,1
TRAIN_SENT_ID_257036,洪敬尧,洪荣宏,2010.12 . 18 《 Mr . J 频道 》 第 07 期 （ 嘉宾 ： 黄俊郎 、 杨瑞代 、 方文山 、 洪荣宏 、 洪敬尧 、 洪荣 良 ）,频道   期  嘉宾  黄俊郎  杨瑞代  方文山  人物二  人物一  洪荣 良,1
TRAIN_SENT_ID_278134,裴元,孙思邈,裴元 对此 领悟 之后 决意 追随 孙思邈 ， 发扬 医术 。,人物一 对此 领悟 之后 决意 追随 人物二  发扬 医术,-1
TRAIN_SENT_ID_266139,李昌镐,曹薰铉,李昌镐 执黑 7 目半胜 曹薰铉,人物一 执黑  目半胜 人物二,-1
TRAIN_SENT_ID_264933,贾元春,贾宝玉,3.2 . 贾政 生 贾珠 、 贾元春 、 贾宝玉 ( 王夫人 所 生 ) 、 贾探春 ( 赵姨娘 所 生 ) 、 贾环 ( 赵姨娘 所 生 ) ；,贾政 生 贾珠  人物一  人物二  王夫人 生   贾探春  赵姨娘 生   贾环  赵姨娘 生,1
TRAIN_SENT_ID_263920,汤镇宗,汤镇业,本 歌曲 为 张敏 、 汤镇宗 、 汤镇业 主演 的 电视剧 《 东方 母亲 》 之 主题歌,歌曲 张敏  人物一  人物二 主演 电视剧  东方 母亲  主题歌,1
TRAIN_SENT_ID_277744,邵素雯,邵素云,两人育 有 两子 两女 ， 长子 邵维铭 、 次女 邵素雯 、 三女 邵素云 及 邵维钟 。,两人育 两子 两女  长子 邵维铭  次女 人物一  三女 人物二 邵维钟,1
TRAIN_SENT_ID_271273,马季,侯宝林,苏文茂 侯宝林 郭启儒 刘宝瑞 马季 姜昆 于宝林 冯宝华,苏文茂 人物二 郭启儒 刘宝瑞 人物一 姜昆 于宝林 冯宝华,-1
TRAIN_SENT_ID_257469,姜昆,马季,姜昆 、 马季 、 刘晓庆 、 王景愚,人物一  人物二  刘晓庆  王景愚,-1
TRAIN_SENT_ID_268889,司徒静,司徒剑南,司徒剑南 第二集 : 司徒静 骗过 衙役 逃走 ， 朱允 和 白云飞 被 误认为 是 强盗 。,人物二 第二集  人物一 骗过 衙役 逃走  朱允 白云飞 误认为 强盗,1
TRAIN_SENT_ID_264873,田猛,田虎,在 烈山 堂堂 主 田猛 葬礼 上 随着 堂主 田虎 前来 吊唁 。,烈山 堂堂 主 人物一 葬礼 堂主 人物二 前来 吊唁,1
TRAIN_SENT_ID_269935,沈春阳,赵本山,其中 ， 汤潮 与 小 沈阳 、 沈春阳 、 丫蛋 、 王金龙 等 打造 音乐 小品 《 真的 想 回家 》 惹 观众 洒泪 ， 值得一提的是 ， 该 作品 由 赵本山 亲自 把关 。,汤潮 沈阳  人物一  丫蛋  王金龙 打造 音乐 小品  真的 想 回家  惹 观众 洒泪  值得一提的是  作品 人物二 亲自 把关,-1
TRAIN_SENT_ID_264401,曾国潢,曾国藩,曾国藩 之 侄 、 曾国潢 之子 曾纪梁 挽 ：,人物二 侄  人物一 之子 曾纪梁 挽,1
TRAIN_SENT_ID_283764,陈寅衷,陈赤衷,《 鄞县 志 · 陈赤衷 》 载 ： 陈寅衷 “ 亦 复 佩服 六经 ， 质有 其文 ， 溯 蕺 山之学脉 ， 仰 证人 之 成规 ” 。,鄞县 志  人物二  载  人物一  复 佩服 六经  质有 其文  溯 蕺 山之学脉  仰 证人 成规,1
TRAIN_SENT_ID_265553,张崇基,张崇德,李大卫 与 著名 音乐 人 张崇基 张崇德 合影,李大卫 著名 音乐 人物一 人物二 合影,1
TRAIN_SENT_ID_251542,楚碧痕,楚寒镜,96 双胞胎 楚寒镜 楚碧痕,双胞胎 人物二 人物一,1
TRAIN_SENT_ID_253110,颜回,孔子,第 07 节晕 ， 颜回 是 孔子 的 娈童 ！,节晕  人物一 人物二 娈童,-1
TRAIN_SENT_ID_263363,武修文,武敦儒,第一篇 ， 写 武敦儒 、 武修文 。,第一篇  写 人物二  人物一,1
TRAIN_SENT_ID_275884,王子豪,王子杰,BOX 组合 （ BOX ） ， 男子 演唱 组合 ， 由 双胞胎 兄弟 王子豪 与 王子杰 组成 。,组合     男子 演唱 组合  双胞胎 兄弟 人物一 人物二 组成,1
TRAIN_SENT_ID_249290,陆无双,程英,8 陆无双 和 程英 / 80,人物一 人物二,1
TRAIN_SENT_ID_272040,韩慕侠,周恩来,周恩来 学习 之 余 ， 常穿 一件 长布 大褂 ， 去 韩慕侠 家里 学拳 练武 。,人物二 学习 余  常穿 一件 长布 大褂  人物一 家里 学拳 练武,-1
TRAIN_SENT_ID_274069,南宫敬叔,孔子,南宫敬叔 将 孔子 的 愿望 转告 国君 。,人物一 人物二 愿望 转告 国君,-1
TRAIN_SENT_ID_275824,陆无双,李莫愁,神 ： 小龙女 ， 程英 ， 陆无双 ， 李莫愁 ， 刘瑛 ， 公孙绿萼,神  小龙女  程英  人物一  人物二  刘瑛  公孙绿萼,-1
TRAIN_SENT_ID_271217,和硕温恪公主,和硕敦恪公主,她们 分别 是 ： 固伦纯禧 公主 、 固伦荣宪 公主 、 和硕端静公主 、 固伦 恪靖 公主 、 固伦纯 悫 公主 、 和硕温恪公主 、 和硕敦恪公主 。,固伦纯禧 公主  固伦荣宪 公主  和硕端静公主  固伦 恪靖 公主  固伦纯 悫 公主  人物一  人物二,1
TRAIN_SENT_ID_250630,鲁西西,皮皮鲁,第 237 集 伊丽莎白 在 稿件 上 签字 ； 鲁西西 叫醒 皮皮鲁 ； 歌唱家 喊 贝塔 万岁 ； 舒克 骂 贝塔 贝塔 不 生气,集 伊丽莎白 稿件 签字  人物一 叫醒 人物二  歌唱家 喊 贝塔 万岁  舒克 骂 贝塔 贝塔 生气,1
TRAIN_SENT_ID_282014,殷野王,殷素素,有 一子 殷野王 和 一女 殷素素 。,一子 人物一 一女 人物二,1
TRAIN_SENT_ID_264940,贾元春,贾宝玉,3.2 . 贾政 生 贾珠 、 贾元春 、 贾宝玉 ( 王夫人 所 生 ) 、 贾探春 ( 庶出 ) 、 贾环 ( 赵姨娘 所 生 ) ；,贾政 生 贾珠  人物一  人物二  王夫人 生   贾探春  庶出   贾环  赵姨娘 生,1
TRAIN_SENT_ID_271268,马季,侯宝林,（ 九 ） 1 、 捉放 曹 侯宝林 郭全宝 2 、 三字经 马三立 赵佩 如 3 、 哭 笑论 马季 于世猷,九    捉放 曹 人物二 郭全宝   三字经 马三立 赵佩   哭 笑论 人物一 于世猷,-1
TRAIN_SENT_ID_265503,薛蝌,薛蟠,金 桂和 宝蟾 要 勾引 薛蟠 堂弟 薛蝌 ， 其他 方面 倒 安静下来 。,金 桂和 宝蟾 勾引 人物二 堂弟 人物一  方面 倒 安静下来,1
TRAIN_SENT_ID_250722,鲁西西,皮皮鲁,克隆 出来 的 皮皮鲁 还 救 了 鲁西西 的 命 。,克隆 人物二 救 人物一 命,1
TRAIN_SENT_ID_266195,李昌镐,曹薰铉,李昌镐 的 师傅 是 围棋 皇帝 曹薰铉 ， 朴永训 的 师傅 是 曾 被 罗洗河 挑落 擂台赛 的 崔圭丙 ！,人物一 师傅 围棋 皇帝 人物二  朴永训 师傅 罗洗河 挑落 擂台赛 崔圭丙,-1
TRAIN_SENT_ID_253044,颜回,孔子,入为 吏部 郎中 ， 言 孔子 庙 自 颜回 以降 ， 皆 爵命 于朝 ， 冠冕 居正 ， 而子 鲤 、 孙伋乃野 服幅巾 以 祭 ， 为 不称 。,入为 吏部 郎中  言 人物二 庙 人物一 以降  皆 爵命 于朝  冠冕 居正  而子 鲤  孙伋乃野 服幅巾 祭  不称,-1
