rule_id,rule,pattern,frequence,original_label
461,人物一/人物二/婚事,.*人物一.*人物二.*婚事.*,7,1
591,人物一/人物二/以后,.*人物一.*人物二.*以后.*,6,0
649,人物二/人物一/不能,.*人物二.*人物一.*不能.*,6,0
782,人物二/本名/副董事长/人物一/之女,.*人物二.*本名.*副董事长.*人物一.*之女.*,5,-1
783,人物二/本名/副董事长/侨务/人物一,.*人物二.*本名.*副董事长.*侨务.*人物一.*,5,-1
784,人物二/本名/副董事长/侨务/人物一/之女,.*人物二.*本名.*副董事长.*侨务.*人物一.*之女.*,5,-1
785,人物二/本名/副董事长/侨务/委员会/人物一,.*人物二.*本名.*副董事长.*侨务.*委员会.*人物一.*,5,-1
786,人物二/本名/副董事长/侨务/委员长/人物一,.*人物二.*本名.*副董事长.*侨务.*委员长.*人物一.*,5,-1
787,人物二/本名/副董事长/兼/中华民国/人物一,.*人物二.*本名.*副董事长.*兼.*中华民国.*人物一.*,5,-1
788,人物二/本名/副董事长/兼/人物一,.*人物二.*本名.*副董事长.*兼.*人物一.*,5,-1
789,人物二/本名/副董事长/兼/人物一/之女,.*人物二.*本名.*副董事长.*兼.*人物一.*之女.*,5,-1
790,人物二/本名/副董事长/兼/侨务/人物一,.*人物二.*本名.*副董事长.*兼.*侨务.*人物一.*,5,-1
791,人物二/本名/副董事长/兼/委员会/人物一,.*人物二.*本名.*副董事长.*兼.*委员会.*人物一.*,5,-1
792,人物二/本名/副董事长/兼/委员长/人物一,.*人物二.*本名.*副董事长.*兼.*委员长.*人物一.*,5,-1
793,人物二/本名/副董事长/兼/秘书长/人物一,.*人物二.*本名.*副董事长.*兼.*秘书长.*人物一.*,5,-1
794,人物二/本名/副董事长/兼/行政院/人物一,.*人物二.*本名.*副董事长.*兼.*行政院.*人物一.*,5,-1
795,人物二/本名/副董事长/委员会/人物一,.*人物二.*本名.*副董事长.*委员会.*人物一.*,5,-1
796,人物二/本名/副董事长/委员会/人物一/之女,.*人物二.*本名.*副董事长.*委员会.*人物一.*之女.*,5,-1
797,人物二/本名/副董事长/委员会/委员长/人物一,.*人物二.*本名.*副董事长.*委员会.*委员长.*人物一.*,5,-1
798,人物二/本名/副董事长/委员长/人物一,.*人物二.*本名.*副董事长.*委员长.*人物一.*,5,-1
799,人物二/本名/副董事长/委员长/人物一/之女,.*人物二.*本名.*副董事长.*委员长.*人物一.*之女.*,5,-1
800,人物二/本名/副董事长/秘书长/中华民国/人物一,.*人物二.*本名.*副董事长.*秘书长.*中华民国.*人物一.*,5,-1
801,人物二/本名/副董事长/秘书长/人物一,.*人物二.*本名.*副董事长.*秘书长.*人物一.*,5,-1
802,人物二/本名/副董事长/秘书长/人物一/之女,.*人物二.*本名.*副董事长.*秘书长.*人物一.*之女.*,5,-1
803,人物二/本名/副董事长/秘书长/侨务/人物一,.*人物二.*本名.*副董事长.*秘书长.*侨务.*人物一.*,5,-1
804,人物二/本名/副董事长/秘书长/委员会/人物一,.*人物二.*本名.*副董事长.*秘书长.*委员会.*人物一.*,5,-1
805,人物二/本名/副董事长/秘书长/委员长/人物一,.*人物二.*本名.*副董事长.*秘书长.*委员长.*人物一.*,5,-1
806,人物二/本名/副董事长/秘书长/行政院/人物一,.*人物二.*本名.*副董事长.*秘书长.*行政院.*人物一.*,5,-1
807,人物二/本名/副董事长/行政院/人物一,.*人物二.*本名.*副董事长.*行政院.*人物一.*,5,-1
808,人物二/本名/副董事长/行政院/人物一/之女,.*人物二.*本名.*副董事长.*行政院.*人物一.*之女.*,5,-1
809,人物二/本名/副董事长/行政院/侨务/人物一,.*人物二.*本名.*副董事长.*行政院.*侨务.*人物一.*,5,-1
810,人物二/本名/副董事长/行政院/委员会/人物一,.*人物二.*本名.*副董事长.*行政院.*委员会.*人物一.*,5,-1
811,人物二/本名/副董事长/行政院/委员长/人物一,.*人物二.*本名.*副董事长.*行政院.*委员长.*人物一.*,5,-1
812,人物二/本名/委员会/人物一,.*人物二.*本名.*委员会.*人物一.*,5,-1
813,人物二/本名/委员会/人物一/之女,.*人物二.*本名.*委员会.*人物一.*之女.*,5,-1
